Date-Time,Open,High,Low,Close,Volume
2006-01-03T08:00:00Z,96.695,96.695,96.695,96.695,200.0
2006-01-03T10:00:00Z,96.695,96.695,96.685,96.685,380.0
2006-01-03T14:00:00Z,96.67,96.67,96.67,96.67,1000.0
2006-01-04T11:00:00Z,96.75,96.75,96.75,96.75,200.0
2006-01-04T14:00:00Z,96.76,96.76,96.76,96.76,200.0
2006-01-05T10:00:00Z,96.765,96.765,96.765,96.765,120.0
2006-01-06T13:00:00Z,96.78,96.78,96.78,96.78,87.0
2006-01-09T12:00:00Z,96.78,96.78,96.78,96.78,48.0
2006-01-10T15:00:00Z,96.79,96.79,96.78,96.78,119.0
2006-01-10T16:00:00Z,96.77,96.77,96.77,96.77,42.0
2006-01-11T14:00:00Z,96.755,96.755,96.755,96.755,2.0
2006-01-12T09:00:00Z,96.74,96.74,96.74,96.74,200.0
2006-01-12T15:00:00Z,96.78,96.78,96.775,96.78,402.0
2006-01-13T15:00:00Z,96.785,96.785,96.75,96.75,200.0
2006-01-13T16:00:00Z,96.755,96.755,96.755,96.755,109.0
2006-01-13T17:00:00Z,96.755,96.755,96.755,96.755,100.0
2006-01-16T13:00:00Z,96.75,96.75,96.75,96.75,120.0
2006-01-19T13:00:00Z,96.7,96.7,96.695,96.7,156.0
2006-01-20T14:00:00Z,96.685,96.685,96.685,96.685,169.0
2006-01-20T15:00:00Z,96.685,96.685,96.685,96.685,13.0
2006-01-23T08:00:00Z,96.67,96.67,96.67,96.67,200.0
2006-01-23T13:00:00Z,96.63,96.63,96.63,96.63,200.0
2006-01-23T14:00:00Z,96.62,96.62,96.62,96.62,210.0
2006-01-23T16:00:00Z,96.63,96.63,96.63,96.63,32.0
2006-01-24T10:00:00Z,96.64,96.64,96.64,96.64,200.0
2006-01-24T11:00:00Z,96.645,96.645,96.645,96.645,24.0
2006-01-24T12:00:00Z,96.64,96.64,96.635,96.64,520.0
2006-01-24T13:00:00Z,96.635,96.635,96.635,96.635,400.0
2006-01-24T17:00:00Z,96.65,96.65,96.65,96.65,227.0
2006-01-24T18:00:00Z,96.65,96.65,96.65,96.65,329.0
2006-01-25T08:00:00Z,96.635,96.635,96.625,96.625,66.0
2006-01-25T11:00:00Z,96.62,96.62,96.62,96.62,93.0
2006-01-25T14:00:00Z,96.605,96.605,96.605,96.605,40.0
2006-01-25T15:00:00Z,96.625,96.625,96.605,96.605,516.0
2006-01-25T16:00:00Z,96.585,96.6,96.585,96.585,12.0
2006-01-26T08:00:00Z,96.59,96.59,96.59,96.59,120.0
2006-01-26T09:00:00Z,96.585,96.59,96.58,96.58,1400.0
2006-01-26T10:00:00Z,96.58,96.58,96.58,96.58,400.0
2006-01-26T16:00:00Z,96.545,96.545,96.545,96.545,217.0
2006-01-26T17:00:00Z,96.505,96.505,96.505,96.505,2.0
2006-01-27T11:00:00Z,96.54,96.54,96.54,96.54,3.0
2006-01-27T12:00:00Z,96.54,96.54,96.54,96.54,58.0
2006-01-27T13:00:00Z,96.54,96.54,96.54,96.54,142.0
2006-01-30T11:00:00Z,96.485,96.485,96.485,96.485,106.0
2006-01-30T12:00:00Z,96.485,96.51,96.485,96.51,2.0
2006-01-30T13:00:00Z,96.515,96.515,96.515,96.515,2.0
2006-01-30T15:00:00Z,96.525,96.525,96.525,96.525,2.0
2006-01-30T16:00:00Z,96.53,96.53,96.53,96.53,4.0
2006-01-31T08:00:00Z,96.55,96.55,96.55,96.55,2.0
2006-01-31T12:00:00Z,96.525,96.525,96.525,96.525,2.0
2006-01-31T14:00:00Z,96.53,96.53,96.53,96.53,2.0
2006-01-31T15:00:00Z,96.53,96.535,96.53,96.535,4.0
2006-01-31T16:00:00Z,96.535,96.535,96.535,96.535,766.0
2006-02-01T10:00:00Z,96.555,96.555,96.555,96.555,138.0
2006-02-01T16:00:00Z,96.495,96.495,96.49,96.49,150.0
2006-02-02T15:00:00Z,96.47,96.47,96.47,96.47,200.0
2006-02-02T16:00:00Z,96.495,96.495,96.495,96.495,10.0
2006-02-03T11:00:00Z,96.51,96.51,96.51,96.51,6.0
2006-02-03T16:00:00Z,96.535,96.535,96.53,96.535,84.0
2006-02-06T07:00:00Z,96.52,96.52,96.52,96.52,4.0
2006-02-06T08:00:00Z,96.52,96.52,96.52,96.52,388.0
2006-02-06T16:00:00Z,96.525,96.525,96.525,96.525,30.0
2006-02-06T17:00:00Z,96.53,96.53,96.53,96.53,80.0
2006-02-07T11:00:00Z,96.535,96.535,96.535,96.535,20.0
2006-02-07T15:00:00Z,96.535,96.535,96.525,96.525,152.0
2006-02-09T09:00:00Z,96.485,96.485,96.485,96.485,2.0
2006-02-09T14:00:00Z,96.485,96.485,96.485,96.485,200.0
