#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
YBAc12,YBAZ6,Market Price,2004-01-14T05:17:00.000000000Z,+11,Intraday 1Min,94.01,94.01,94.01,94.01,25
YBAc12,YBAZ6,Market Price,2004-01-26T22:27:00.000000000Z,+11,Intraday 1Min,93.86,93.86,93.86,93.86,25
YBAc12,YBAZ6,Market Price,2004-01-30T05:24:00.000000000Z,+11,Intraday 1Min,93.69,93.69,93.69,93.69,5
YBAc12,YBAZ6,Market Price,2004-01-30T05:25:00.000000000Z,+11,Intraday 1Min,93.69,93.69,93.69,93.69,10
YBAc12,YBAZ6,Market Price,2004-01-30T05:26:00.000000000Z,+11,Intraday 1Min,93.69,93.69,93.69,93.69,20
YBAc12,YBAZ6,Market Price,2004-02-16T05:27:00.000000000Z,+11,Intraday 1Min,94.04,94.04,94.04,94.04,10
YBAc12,YBAZ6,Market Price,2004-02-19T04:55:00.000000000Z,+11,Intraday 1Min,93.95,93.95,93.95,93.95,100
YBAc12,YBAZ6,Market Price,2004-02-19T05:22:00.000000000Z,+11,Intraday 1Min,93.95,93.95,93.95,93.95,100
YBAc12,YBAZ6,Market Price,2004-02-19T05:29:00.000000000Z,+11,Intraday 1Min,93.96,93.96,93.96,93.96,50
YBAc12,YBAH7,Market Price,2004-03-15T04:59:00.000000000Z,+11,Intraday 1Min,94.31,94.31,94.31,94.31,100
YBAc12,YBAH7,Market Price,2004-03-17T05:26:00.000000000Z,+11,Intraday 1Min,94.37,94.37,94.37,94.37,70
YBAc12,YBAH7,Market Price,2004-03-30T05:21:00.000000000Z,+10,Intraday 1Min,94.18,94.18,94.18,94.18,1
YBAc12,YBAH7,Market Price,2004-03-31T04:45:00.000000000Z,+10,Intraday 1Min,94.22,94.22,94.22,94.22,1
YBAc12,YBAH7,Market Price,2004-03-31T04:46:00.000000000Z,+10,Intraday 1Min,94.22,94.22,94.22,94.22,1
YBAc12,YBAH7,Market Price,2004-03-31T05:13:00.000000000Z,+10,Intraday 1Min,94.19,94.19,94.19,94.19,20
YBAc12,YBAH7,Market Price,2004-03-31T05:16:00.000000000Z,+10,Intraday 1Min,94.19,94.19,94.19,94.19,100
YBAc12,YBAH7,Market Price,2004-04-05T02:20:00.000000000Z,+10,Intraday 1Min,93.81,93.81,93.81,93.81,50
YBAc12,YBAH7,Market Price,2004-04-05T23:24:00.000000000Z,+10,Intraday 1Min,93.82,93.82,93.82,93.82,50
YBAc12,YBAH7,Market Price,2004-04-07T00:19:00.000000000Z,+10,Intraday 1Min,93.9,93.9,93.9,93.9,85
YBAc12,YBAH7,Market Price,2004-04-07T00:22:00.000000000Z,+10,Intraday 1Min,93.9,93.9,93.9,93.9,15
YBAc12,YBAH7,Market Price,2004-04-07T01:14:00.000000000Z,+10,Intraday 1Min,93.9,93.9,93.9,93.9,50
YBAc12,YBAH7,Market Price,2004-04-07T06:29:00.000000000Z,+10,Intraday 1Min,93.93,93.93,93.93,93.93,10
YBAc12,YBAH7,Market Price,2004-04-14T02:18:00.000000000Z,+10,Intraday 1Min,93.7,93.7,93.7,93.7,15
YBAc12,YBAH7,Market Price,2004-04-14T04:47:00.000000000Z,+10,Intraday 1Min,93.66,93.66,93.66,93.66,80
YBAc12,YBAH7,Market Price,2004-04-14T05:29:00.000000000Z,+10,Intraday 1Min,93.67,93.67,93.67,93.67,25
YBAc12,YBAH7,Market Price,2004-04-14T05:39:00.000000000Z,+10,Intraday 1Min,93.67,93.67,93.67,93.67,1
YBAc12,YBAH7,Market Price,2004-04-16T05:32:00.000000000Z,+10,Intraday 1Min,93.74,93.74,93.74,93.74,100
YBAc12,YBAH7,Market Price,2004-04-19T23:47:00.000000000Z,+10,Intraday 1Min,93.74,93.74,93.74,93.74,92
YBAc12,YBAH7,Market Price,2004-04-20T00:03:00.000000000Z,+10,Intraday 1Min,93.74,93.74,93.74,93.74,8
YBAc12,YBAH7,Market Price,2004-04-20T00:10:00.000000000Z,+10,Intraday 1Min,93.75,93.75,93.75,93.75,100
YBAc12,YBAH7,Market Price,2004-04-20T00:19:00.000000000Z,+10,Intraday 1Min,93.75,93.75,93.75,93.75,100
YBAc12,YBAH7,Market Price,2004-04-20T06:26:00.000000000Z,+10,Intraday 1Min,93.74,93.74,93.74,93.74,29
YBAc12,YBAH7,Market Price,2004-04-20T06:29:00.000000000Z,+10,Intraday 1Min,93.75,93.75,93.75,93.75,5
YBAc12,YBAH7,Market Price,2004-04-22T05:25:00.000000000Z,+10,Intraday 1Min,93.82,93.82,93.82,93.82,49
YBAc12,YBAH7,Market Price,2004-04-22T06:04:00.000000000Z,+10,Intraday 1Min,93.81,93.81,93.81,93.81,1
YBAc12,YBAH7,Market Price,2004-04-22T06:07:00.000000000Z,+10,Intraday 1Min,93.8,93.81,93.8,93.81,100
YBAc12,YBAH7,Market Price,2004-04-22T06:29:00.000000000Z,+10,Intraday 1Min,93.81,93.81,93.81,93.81,50
YBAc12,YBAH7,Market Price,2004-04-23T06:22:00.000000000Z,+10,Intraday 1Min,93.88,93.88,93.88,93.88,1
YBAc12,YBAH7,Market Price,2004-04-27T01:16:00.000000000Z,+10,Intraday 1Min,93.84,93.84,93.84,93.84,25
YBAc12,YBAH7,Market Price,2004-04-27T04:45:00.000000000Z,+10,Intraday 1Min,93.88,93.88,93.88,93.88,50
YBAc12,YBAH7,Market Price,2004-04-27T06:28:00.000000000Z,+10,Intraday 1Min,93.88,93.88,93.88,93.88,50
YBAc12,YBAH7,Market Price,2004-04-27T06:29:00.000000000Z,+10,Intraday 1Min,93.89,93.89,93.89,93.89,2
YBAc12,YBAH7,Market Price,2004-04-28T06:12:00.000000000Z,+10,Intraday 1Min,93.85,93.85,93.85,93.85,1
YBAc12,YBAH7,Market Price,2004-04-29T01:56:00.000000000Z,+10,Intraday 1Min,93.71,93.71,93.71,93.71,3
