#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
YBAc10,YBAM6,Market Price,2004-01-05T05:29:00.000000000Z,+11,Intraday 1Min,93.7,93.7,93.7,93.7,1
YBAc10,YBAM6,Market Price,2004-01-05T23:54:00.000000000Z,+11,Intraday 1Min,93.68,93.68,93.68,93.68,25
YBAc10,YBAM6,Market Price,2004-01-06T00:00:00.000000000Z,+11,Intraday 1Min,93.68,93.68,93.68,93.68,25
YBAc10,YBAM6,Market Price,2004-01-06T01:03:00.000000000Z,+11,Intraday 1Min,93.69,93.69,93.69,93.69,25
YBAc10,YBAM6,Market Price,2004-01-06T03:47:00.000000000Z,+11,Intraday 1Min,93.69,93.69,93.69,93.69,5
YBAc10,YBAM6,Market Price,2004-01-08T04:51:00.000000000Z,+11,Intraday 1Min,93.74,93.74,93.74,93.74,3
YBAc10,YBAM6,Market Price,2004-01-14T00:30:00.000000000Z,+11,Intraday 1Min,94.07,94.07,94.07,94.07,8
YBAc10,YBAM6,Market Price,2004-01-14T02:05:00.000000000Z,+11,Intraday 1Min,94.08,94.08,94.08,94.08,17
YBAc10,YBAM6,Market Price,2004-01-15T22:31:00.000000000Z,+11,Intraday 1Min,94.06,94.06,94.06,94.06,100
YBAc10,YBAM6,Market Price,2004-01-15T22:33:00.000000000Z,+11,Intraday 1Min,94.06,94.06,94.06,94.06,100
YBAc10,YBAM6,Market Price,2004-01-26T22:03:00.000000000Z,+11,Intraday 1Min,93.94,93.94,93.94,93.94,50
YBAc10,YBAM6,Market Price,2004-01-26T22:06:00.000000000Z,+11,Intraday 1Min,93.93,93.93,93.93,93.93,50
YBAc10,YBAM6,Market Price,2004-01-26T22:13:00.000000000Z,+11,Intraday 1Min,93.93,93.93,93.93,93.93,50
YBAc10,YBAM6,Market Price,2004-01-26T23:30:00.000000000Z,+11,Intraday 1Min,93.9,93.9,93.9,93.9,50
YBAc10,YBAM6,Market Price,2004-01-28T22:50:00.000000000Z,+11,Intraday 1Min,93.79,93.79,93.79,93.79,50
YBAc10,YBAM6,Market Price,2004-01-29T05:28:00.000000000Z,+11,Intraday 1Min,93.78,93.78,93.78,93.78,5
YBAc10,YBAM6,Market Price,2004-01-29T05:29:00.000000000Z,+11,Intraday 1Min,93.78,93.78,93.78,93.78,50
YBAc10,YBAM6,Market Price,2004-02-03T00:05:00.000000000Z,+11,Intraday 1Min,93.86,93.86,93.86,93.86,64
YBAc10,YBAM6,Market Price,2004-02-03T00:18:00.000000000Z,+11,Intraday 1Min,93.86,93.86,93.86,93.86,50
YBAc10,YBAM6,Market Price,2004-02-16T01:11:00.000000000Z,+11,Intraday 1Min,94.09,94.09,94.09,94.09,5
YBAc10,YBAM6,Market Price,2004-02-16T01:13:00.000000000Z,+11,Intraday 1Min,94.09,94.09,94.09,94.09,5
YBAc10,YBAM6,Market Price,2004-02-16T03:26:00.000000000Z,+11,Intraday 1Min,94.1,94.1,94.1,94.1,5
YBAc10,YBAM6,Market Price,2004-02-16T03:43:00.000000000Z,+11,Intraday 1Min,94.1,94.1,94.1,94.1,50
YBAc10,YBAM6,Market Price,2004-02-16T03:44:00.000000000Z,+11,Intraday 1Min,94.1,94.1,94.1,94.1,50
YBAc10,YBAM6,Market Price,2004-02-16T05:03:00.000000000Z,+11,Intraday 1Min,94.09,94.09,94.09,94.09,25
YBAc10,YBAM6,Market Price,2004-02-16T05:13:00.000000000Z,+11,Intraday 1Min,94.09,94.09,94.09,94.09,25
YBAc10,YBAM6,Market Price,2004-02-19T04:55:00.000000000Z,+11,Intraday 1Min,93.99,93.99,93.99,93.99,100
YBAc10,YBAM6,Market Price,2004-02-19T05:22:00.000000000Z,+11,Intraday 1Min,93.99,93.99,93.99,93.99,68
YBAc10,YBAM6,Market Price,2004-02-19T05:28:00.000000000Z,+11,Intraday 1Min,94,94,94,94,20
YBAc10,YBAM6,Market Price,2004-02-24T01:20:00.000000000Z,+11,Intraday 1Min,93.93,93.93,93.92,93.93,101
YBAc10,YBAM6,Market Price,2004-02-25T05:29:00.000000000Z,+11,Intraday 1Min,93.96,93.96,93.96,93.96,1
YBAc10,YBAM6,Market Price,2004-02-26T23:32:00.000000000Z,+11,Intraday 1Min,94.01,94.01,94.01,94.01,50
YBAc10,YBAM6,Market Price,2004-03-01T05:27:00.000000000Z,+11,Intraday 1Min,94.07,94.07,94.07,94.07,5
YBAc10,YBAM6,Market Price,2004-03-10T23:58:00.000000000Z,+11,Intraday 1Min,94.27,94.27,94.27,94.27,2
YBAc10,YBAM6,Market Price,2004-03-11T00:22:00.000000000Z,+11,Intraday 1Min,94.26,94.26,94.26,94.26,20
YBAc10,YBAU6,Market Price,2004-03-16T00:29:00.000000000Z,+11,Intraday 1Min,94.38,94.38,94.38,94.38,20
YBAc10,YBAU6,Market Price,2004-03-16T00:31:00.000000000Z,+11,Intraday 1Min,94.38,94.38,94.38,94.38,20
YBAc10,YBAU6,Market Price,2004-03-17T05:20:00.000000000Z,+11,Intraday 1Min,94.44,94.44,94.44,94.44,5
YBAc10,YBAU6,Market Price,2004-03-24T23:27:00.000000000Z,+11,Intraday 1Min,94.4,94.4,94.4,94.4,100
YBAc10,YBAU6,Market Price,2004-03-25T05:29:00.000000000Z,+11,Intraday 1Min,94.41,94.41,94.41,94.41,50
YBAc10,YBAU6,Market Price,2004-03-26T00:19:00.000000000Z,+11,Intraday 1Min,94.41,94.41,94.41,94.41,50
YBAc10,YBAU6,Market Price,2004-03-30T00:50:00.000000000Z,+10,Intraday 1Min,94.24,94.24,94.24,94.24,1
YBAc10,YBAU6,Market Price,2004-03-30T06:20:00.000000000Z,+10,Intraday 1Min,94.24,94.24,94.24,94.24,10
YBAc10,YBAU6,Market Price,2004-03-31T05:13:00.000000000Z,+10,Intraday 1Min,94.25,94.25,94.25,94.25,21
YBAc10,YBAU6,Market Price,2004-03-31T05:14:00.000000000Z,+10,Intraday 1Min,94.25,94.25,94.25,94.25,4
