Date-Time,Open,High,Low,Close,Volume
2006-01-02T00:00:00Z,96.85,96.86,96.795,96.815,14839.0
2006-01-03T00:00:00Z,96.83,96.84,96.79,96.83,40243.0
2006-01-04T00:00:00Z,96.875,97.005,96.835,96.955,115089.0
2006-01-05T00:00:00Z,96.985,96.995,96.91,96.965,60713.0
2006-01-06T00:00:00Z,96.965,97.0,96.94,96.96,61131.0
2006-01-09T00:00:00Z,96.95,96.96,96.915,96.93,52976.0
2006-01-10T00:00:00Z,96.94,96.945,96.875,96.88,53438.0
2006-01-11T00:00:00Z,96.87,96.885,96.83,96.84,90865.0
2006-01-12T00:00:00Z,96.84,96.905,96.83,96.885,93298.0
2006-01-13T00:00:00Z,96.88,96.9,96.87,96.895,40243.0
2006-01-16T00:00:00Z,96.89,96.9,96.875,96.885,20113.0
2006-01-17T00:00:00Z,96.895,96.925,96.885,96.92,64365.0
2006-01-18T00:00:00Z,96.935,96.96,96.86,96.885,88974.0
2006-01-19T00:00:00Z,96.875,96.885,96.795,96.815,97478.0
2006-01-20T00:00:00Z,96.805,96.845,96.785,96.815,61129.0
2006-01-23T00:00:00Z,96.815,96.825,96.76,96.775,62080.0
2006-01-24T00:00:00Z,96.785,96.805,96.765,96.77,75700.0
2006-01-25T00:00:00Z,96.77,96.78,96.73,96.735,123998.0
2006-01-26T00:00:00Z,96.735,96.765,96.705,96.715,104396.0
2006-01-27T00:00:00Z,96.7,96.745,96.67,96.685,110194.0
2006-01-30T00:00:00Z,96.68,96.695,96.645,96.68,73204.0
2006-01-31T00:00:00Z,96.665,96.7,96.665,96.68,46413.0
2006-02-01T00:00:00Z,96.68,96.72,96.64,96.65,77040.0
2006-02-02T00:00:00Z,96.63,96.69,96.63,96.67,91357.0
2006-02-03T00:00:00Z,96.66,96.71,96.64,96.7,79971.0
2006-02-06T00:00:00Z,96.695,96.715,96.685,96.695,40196.0
2006-02-07T00:00:00Z,96.695,96.745,96.68,96.695,102370.0
2006-02-08T00:00:00Z,96.695,96.74,96.69,96.705,81834.0
2006-02-09T00:00:00Z,96.705,96.75,96.67,96.735,68803.0
2006-02-10T00:00:00Z,96.725,96.785,96.71,96.735,87963.0
2006-02-13T00:00:00Z,96.745,96.745,96.71,96.74,63700.0
2006-02-14T00:00:00Z,96.715,96.755,96.715,96.725,70717.0
2006-02-15T00:00:00Z,96.74,96.77,96.715,96.725,85333.0
2006-02-16T00:00:00Z,96.745,96.745,96.69,96.72,55722.0
2006-02-17T00:00:00Z,96.72,96.785,96.72,96.77,75611.0
2006-02-20T00:00:00Z,96.77,96.81,96.77,96.795,63442.0
2006-02-21T00:00:00Z,96.8,96.82,96.76,96.77,100592.0
2006-02-22T00:00:00Z,96.755,96.775,96.725,96.755,104203.0
2006-02-23T00:00:00Z,96.77,96.77,96.68,96.685,137180.0
2006-02-24T00:00:00Z,96.67,96.71,96.665,96.665,134769.0
2006-02-27T00:00:00Z,96.66,96.66,96.61,96.625,156264.0
2006-02-28T00:00:00Z,96.635,96.655,96.61,96.64,114154.0
2006-03-01T00:00:00Z,96.645,96.655,96.62,96.635,91398.0
2006-03-02T00:00:00Z,96.63,96.665,96.555,96.56,179479.0
2006-03-03T00:00:00Z,96.585,96.585,96.52,96.525,125285.0
2006-03-06T00:00:00Z,96.52,96.545,96.515,96.52,82094.0
