"Timestamp","ED16.OPEN","ED16.HIGH","ED16.LOW","ED16.CLOSE"
2000-06-09,92.7,92.7,92.7,92.7
2000-06-12,92.775,92.775,92.775,92.775
2000-06-13,92.8,92.8,92.8,92.8
2000-06-14,92.855,92.855,92.855,92.855
2000-06-15,92.87,92.87,92.87,92.87
2000-06-16,92.96,92.96,92.96,92.96
2000-06-19,92.92,92.92,92.92,92.92
2000-06-20,92.835,92.835,92.835,92.835
2000-06-21,92.75,92.75,92.75,92.75
2000-06-22,92.695,92.695,92.695,92.695
2000-06-23,92.665,92.665,92.665,92.665
2000-06-26,92.77,92.77,92.77,92.77
2000-06-27,92.77,92.77,92.77,92.77
2000-06-28,92.745,92.745,92.745,92.745
2000-06-29,92.82,92.82,92.82,92.82
2000-06-30,92.86,92.86,92.86,92.86
2000-07-03,92.885,92.885,92.885,92.885
2000-07-04,92.925,92.925,92.925,92.925
2000-07-05,92.925,92.925,92.925,92.925
2000-07-06,92.87,92.87,92.87,92.87
2000-07-07,92.945,92.945,92.945,92.945
2000-07-10,92.9,92.9,92.9,92.9
2000-07-11,92.88,92.88,92.88,92.88
2000-07-12,92.86,92.86,92.86,92.86
2000-07-13,92.925,92.925,92.925,92.925
2000-07-14,92.82,92.82,92.82,92.82
2000-07-17,92.745,92.745,92.745,92.745
2000-07-18,92.73,92.73,92.73,92.73
2000-07-19,92.72,92.72,92.72,92.72
2000-07-20,92.89,92.89,92.89,92.89
2000-07-21,92.89,92.89,92.89,92.89
2000-07-24,92.865,92.865,92.865,92.865
2000-07-25,92.88,92.88,92.88,92.88
2000-07-26,92.885,92.885,92.885,92.885
2000-07-27,92.9,92.9,92.9,92.9
2000-07-28,92.86,92.86,92.86,92.86
2000-07-31,92.875,92.875,92.875,92.875
2000-08-01,92.89,92.89,92.89,92.89
2000-08-02,92.93,92.93,92.93,92.93
2000-08-03,92.945,92.945,92.945,92.945
2000-08-04,93.005,93.005,93.005,93.005
2000-08-07,92.975,92.975,92.975,92.975
2000-08-08,93.02,93.02,93.02,93.02
2000-08-09,93.015,93.015,93.015,93.015
2000-08-10,93.065,93.065,93.065,93.065
2000-08-11,93.015,93.015,93.015,93.015
2000-08-14,93.03,93.03,93.03,93.03
2000-08-15,93.035,93.035,93.035,93.035
2000-08-16,93.015,93.015,93.015,93.015
2000-08-17,93.02,93.02,93.02,93.02
2000-08-18,93.04,93.04,93.04,93.04
2000-08-21,93.015,93.015,93.015,93.015
2000-08-22,93.045,93.045,93.045,93.045
2000-08-23,93.115,93.115,93.115,93.115
2000-08-24,93.13,93.13,93.13,93.13
2000-08-25,93.135,93.135,93.135,93.135
2000-08-28,93.095,93.095,93.095,93.095
2000-08-29,93.045,93.045,93.045,93.045
2000-08-30,93.03,93.03,93.03,93.03
2000-08-31,93.11,93.11,93.11,93.11
2000-09-01,93.205,93.205,93.205,93.205
2000-09-04,93.205,93.205,93.205,93.205
2000-09-05,93.205,93.205,93.205,93.205
2000-09-06,93.14,93.14,93.14,93.14
2000-09-07,93.1,93.1,93.1,93.1
2000-09-08,93.1,93.1,93.1,93.1
2000-09-11,93.095,93.095,93.095,93.095
2000-09-12,93.085,93.085,93.085,93.085
2000-09-13,93.155,93.155,93.155,93.155
2000-09-14,93.11,93.11,93.11,93.11
2000-09-15,93.11,93.11,93.11,93.11
2000-09-18,93.125,93.125,93.125,93.125
2000-09-19,93.065,93.065,93.065,93.065
2000-09-20,93.01,93.01,93.01,93.01
2000-09-21,93.05,93.05,93.05,93.05
2000-09-22,93.09,93.09,93.09,93.09
2000-09-25,93.11,93.11,93.11,93.11
2000-09-26,93.135,93.135,93.135,93.135
2000-09-27,93.135,93.135,93.135,93.135
2000-09-28,93.15,93.15,93.15,93.15
2000-09-29,93.195,93.195,93.195,93.195
2000-10-02,93.195,93.195,93.195,93.195
2000-10-03,93.16,93.16,93.16,93.16
2000-10-04,93.115,93.115,93.115,93.115
2000-10-05,93.11,93.11,93.11,93.11
2000-10-06,93.12,93.12,93.12,93.12
2000-10-09,93.12,93.12,93.12,93.12
2000-10-10,93.105,93.105,93.105,93.105
2000-10-11,93.14,93.14,93.14,93.14
2000-10-12,93.185,93.185,93.185,93.185
2000-10-13,93.195,93.195,93.195,93.195
2000-10-16,93.185,93.185,93.185,93.185
2000-10-17,93.27,93.27,93.27,93.27
2000-10-18,93.27,93.27,93.27,93.27
2000-10-19,93.315,93.315,93.315,93.315
2000-10-20,93.36,93.36,93.36,93.36
2000-10-23,93.4,93.4,93.4,93.4
2000-10-24,93.365,93.365,93.365,93.365
2000-10-25,93.31,93.31,93.31,93.31
2000-10-26,93.29,93.29,93.29,93.29
2000-10-27,93.215,93.215,93.215,93.215
2000-10-30,93.2,93.2,93.2,93.2
2000-10-31,93.2,93.2,93.2,93.2
2000-11-01,93.22,93.22,93.22,93.22
2000-11-02,93.24,93.24,93.24,93.24
2000-11-03,93.155,93.155,93.155,93.155
2000-11-06,93.09,93.09,93.09,93.09
2000-11-07,93.09,93.09,93.09,93.09
2000-11-08,93.095,93.095,93.095,93.095
2000-11-09,93.14,93.14,93.14,93.14
2000-11-10,93.14,93.14,93.14,93.14
2000-11-13,93.17,93.17,93.17,93.17
2000-11-14,93.19,93.19,93.19,93.19
2000-11-15,93.225,93.225,93.225,93.225
2000-11-16,93.27,93.27,93.27,93.27
2000-11-17,93.235,93.235,93.235,93.235
2000-11-20,93.23,93.23,93.23,93.23
2000-11-21,93.23,93.23,93.23,93.23
2000-11-22,93.255,93.255,93.255,93.255
2000-11-23,93.245,93.245,93.245,93.245
2000-11-24,93.245,93.245,93.245,93.245
2000-11-27,93.255,93.255,93.255,93.255
2000-11-28,93.31,93.31,93.31,93.31
