"Timestamp","ED3.OPEN","ED3.HIGH","ED3.LOW","ED3.CLOSE"
2000-06-20,92.86,92.86,92.86,92.86
2000-06-21,92.8,92.8,92.8,92.8
2000-06-22,92.79,92.79,92.79,92.79
2000-06-23,92.785,92.785,92.785,92.785
2000-06-26,92.825,92.825,92.825,92.825
2000-06-27,92.83,92.83,92.83,92.83
2000-06-28,92.84,92.84,92.84,92.84
2000-06-29,92.895,92.895,92.895,92.895
2000-06-30,92.895,92.895,92.895,92.895
2000-07-03,92.98,92.98,92.98,92.98
2000-07-04,93.035,93.035,93.035,93.035
2000-07-05,93.035,93.035,93.035,93.035
2000-07-06,92.99,92.99,92.99,92.99
2000-07-07,93.08,93.08,93.08,93.08
2000-07-10,93.04,93.04,93.04,93.04
2000-07-11,93.02,93.02,93.02,93.02
2000-07-12,93,93,93,93
2000-07-13,93.04,93.04,93.04,93.04
2000-07-14,92.95,92.95,92.95,92.95
2000-07-17,92.925,92.925,92.925,92.925
2000-07-18,92.92,92.92,92.92,92.92
2000-07-19,92.915,92.915,92.915,92.915
2000-07-20,93.06,93.06,93.06,93.06
2000-07-21,93.065,93.065,93.065,93.065
2000-07-24,93.04,93.04,93.04,93.04
2000-07-25,93.06,93.06,93.06,93.06
2000-07-26,93.06,93.06,93.06,93.06
2000-07-27,93.08,93.08,93.08,93.08
2000-07-28,93.045,93.045,93.045,93.045
2000-07-31,93.025,93.025,93.025,93.025
2000-08-01,93.055,93.055,93.055,93.055
2000-08-02,93.095,93.095,93.095,93.095
2000-08-03,93.125,93.125,93.125,93.125
2000-08-04,93.2,93.2,93.2,93.2
2000-08-07,93.18,93.18,93.18,93.18
2000-08-08,93.22,93.22,93.22,93.22
2000-08-09,93.23,93.23,93.23,93.23
2000-08-10,93.255,93.255,93.255,93.255
2000-08-11,93.17,93.17,93.17,93.17
2000-08-14,93.175,93.175,93.175,93.175
2000-08-15,93.175,93.175,93.175,93.175
2000-08-16,93.155,93.155,93.155,93.155
2000-08-17,93.155,93.155,93.155,93.155
2000-08-18,93.195,93.195,93.195,93.195
2000-08-21,93.19,93.19,93.19,93.19
2000-08-22,93.17,93.17,93.17,93.17
2000-08-23,93.21,93.21,93.21,93.21
2000-08-24,93.24,93.24,93.24,93.24
2000-08-25,93.24,93.24,93.24,93.24
2000-08-28,93.2,93.2,93.2,93.2
2000-08-29,93.18,93.18,93.18,93.18
2000-08-30,93.2,93.2,93.2,93.2
2000-08-31,93.25,93.25,93.25,93.25
2000-09-01,93.36,93.36,93.36,93.36
2000-09-04,93.345,93.345,93.345,93.345
2000-09-05,93.345,93.345,93.345,93.345
2000-09-06,93.315,93.315,93.315,93.315
2000-09-07,93.305,93.305,93.305,93.305
2000-09-08,93.335,93.335,93.335,93.335
2000-09-11,93.33,93.33,93.33,93.33
2000-09-12,93.34,93.34,93.34,93.34
2000-09-13,93.375,93.375,93.375,93.375
2000-09-14,93.385,93.385,93.385,93.385
2000-09-15,93.41,93.41,93.41,93.41
2000-09-18,93.45,93.45,93.45,93.45
2000-09-19,93.445,93.445,93.445,93.445
2000-09-20,93.415,93.415,93.415,93.415
2000-09-21,93.43,93.43,93.43,93.43
2000-09-22,93.465,93.465,93.465,93.465
2000-09-25,93.43,93.43,93.43,93.43
2000-09-26,93.46,93.46,93.46,93.46
2000-09-27,93.465,93.465,93.465,93.465
2000-09-28,93.465,93.465,93.465,93.465
2000-09-29,93.515,93.515,93.515,93.515
2000-10-02,93.515,93.515,93.515,93.515
2000-10-03,93.485,93.485,93.485,93.485
2000-10-04,93.465,93.465,93.465,93.465
2000-10-05,93.465,93.465,93.465,93.465
2000-10-06,93.465,93.465,93.465,93.465
2000-10-09,93.465,93.465,93.465,93.465
2000-10-10,93.465,93.465,93.465,93.465
2000-10-11,93.51,93.51,93.51,93.51
2000-10-12,93.61,93.61,93.61,93.61
2000-10-13,93.605,93.605,93.605,93.605
2000-10-16,93.58,93.58,93.58,93.58
2000-10-17,93.635,93.635,93.635,93.635
2000-10-18,93.65,93.65,93.65,93.65
2000-10-19,93.63,93.63,93.63,93.63
2000-10-20,93.65,93.65,93.65,93.65
2000-10-23,93.675,93.675,93.675,93.675
2000-10-24,93.645,93.645,93.645,93.645
2000-10-25,93.62,93.62,93.62,93.62
2000-10-26,93.605,93.605,93.605,93.605
2000-10-27,93.545,93.545,93.545,93.545
2000-10-30,93.54,93.54,93.54,93.54
2000-10-31,93.575,93.575,93.575,93.575
2000-11-01,93.625,93.625,93.625,93.625
2000-11-02,93.63,93.63,93.63,93.63
2000-11-03,93.585,93.585,93.585,93.585
2000-11-06,93.545,93.545,93.545,93.545
2000-11-07,93.54,93.54,93.54,93.54
2000-11-08,93.54,93.54,93.54,93.54
2000-11-09,93.585,93.585,93.585,93.585
2000-11-10,93.61,93.61,93.61,93.61
2000-11-13,93.645,93.645,93.645,93.645
2000-11-14,93.615,93.615,93.615,93.615
2000-11-15,93.625,93.625,93.625,93.625
2000-11-16,93.65,93.65,93.65,93.65
2000-11-17,93.645,93.645,93.645,93.645
2000-11-20,93.655,93.655,93.655,93.655
2000-11-21,93.65,93.65,93.65,93.65
2000-11-22,93.685,93.685,93.685,93.685
2000-11-23,93.66,93.66,93.66,93.66
2000-11-24,93.66,93.66,93.66,93.66
2000-11-27,93.665,93.665,93.665,93.665
2000-11-28,93.715,93.715,93.715,93.715
2000-11-29,93.77,93.77,93.77,93.77
2000-11-30,93.865,93.865,93.865,93.865
2000-12-01,93.825,93.825,93.825,93.825
2000-12-04,93.86,93.86,93.86,93.86
2000-12-05,93.985,93.985,93.985,93.985
2000-12-06,94.055,94.055,94.055,94.055
2000-12-07,94.055,94.055,94.055,94.055
2000-12-08,94.01,94.01,94.01,94.01
2000-12-11,93.985,93.985,93.985,93.985
2000-12-12,93.985,93.985,93.985,93.985
2000-12-13,94.09,94.09,94.09,94.09
2000-12-14,94.14,94.14,94.14,94.14
2000-12-15,94.185,94.185,94.185,94.185
2000-12-18,94.225,94.225,94.225,94.225
2000-12-19,94.36,94.36,94.36,94.36
2000-12-20,94.48,94.48,94.48,94.48
2000-12-21,94.59,94.59,94.59,94.59
2000-12-22,94.63,94.63,94.63,94.63
2000-12-25,94.605,94.605,94.605,94.605
2000-12-26,94.605,94.605,94.605,94.605
2000-12-27,94.54,94.54,94.54,94.54
2000-12-28,94.485,94.485,94.485,94.485
2000-12-29,94.565,94.565,94.565,94.565
2001-01-02,94.81,94.81,94.81,94.81
2001-01-03,94.83,94.83,94.83,94.83
2001-01-04,94.975,94.975,94.975,94.975
2001-01-05,95.115,95.115,95.115,95.115
2001-01-08,95.16,95.16,95.16,95.16
2001-01-09,95.05,95.05,95.05,95.05
2001-01-10,94.97,94.97,94.97,94.97
2001-01-11,94.975,94.975,94.975,94.975
2001-01-12,94.83,94.83,94.83,94.83
2001-01-15,94.85,94.85,94.85,94.85
2001-01-16,94.85,94.85,94.85,94.85
2001-01-17,94.915,94.915,94.915,94.915
2001-01-18,95.05,95.05,95.05,95.05
2001-01-19,95.045,95.045,95.045,95.045
2001-01-22,95.065,95.065,95.065,95.065
2001-01-23,94.985,94.985,94.985,94.985
2001-01-24,94.935,94.935,94.935,94.935
2001-01-25,94.93,94.93,94.93,94.93
2001-01-26,94.985,94.985,94.985,94.985
2001-01-29,95.02,95.02,95.02,95.02
2001-01-30,95.115,95.115,95.115,95.115
2001-01-31,95.185,95.185,95.185,95.185
2001-02-01,95.215,95.215,95.215,95.215
2001-02-02,95.085,95.085,95.085,95.085
2001-02-05,95.1,95.1,95.1,95.1
2001-02-06,95.07,95.07,95.07,95.07
2001-02-07,95.105,95.105,95.105,95.105
2001-02-08,95.09,95.09,95.09,95.09
2001-02-09,95.15,95.15,95.15,95.15
2001-02-12,95.13,95.13,95.13,95.13
2001-02-13,95.06,95.06,95.06,95.06
2001-02-14,94.97,94.97,94.97,94.97
2001-02-15,94.92,94.92,94.92,94.92
2001-02-16,95.05,95.05,95.05,95.05
2001-02-19,95.07,95.07,95.07,95.07
2001-02-20,95.07,95.07,95.07,95.07
2001-02-21,95.105,95.105,95.105,95.105
2001-02-22,95.165,95.165,95.165,95.165
2001-02-23,95.28,95.28,95.28,95.28
2001-02-26,95.325,95.325,95.325,95.325
2001-02-27,95.34,95.34,95.34,95.34
2001-02-28,95.36,95.36,95.36,95.36
2001-03-01,95.365,95.365,95.365,95.365
2001-03-02,95.32,95.32,95.32,95.32
2001-03-05,95.32,95.32,95.32,95.32
2001-03-06,95.35,95.35,95.35,95.35
2001-03-07,95.39,95.39,95.39,95.39
2001-03-08,95.405,95.405,95.405,95.405
2001-03-09,95.34,95.34,95.34,95.34
2001-03-12,95.365,95.365,95.365,95.365
2001-03-13,95.365,95.365,95.365,95.365
2001-03-14,95.525,95.525,95.525,95.525
2001-03-15,95.625,95.625,95.625,95.625
2001-03-16,95.6,95.6,95.6,95.6
2001-03-19,95.555,95.555,95.555,95.555
2001-03-20,95.475,95.475,95.475,95.475
2001-03-21,95.545,95.545,95.545,95.545
2001-03-22,95.605,95.605,95.605,95.605
2001-03-23,95.505,95.505,95.505,95.505
2001-03-26,95.505,95.505,95.505,95.505
2001-03-27,95.33,95.33,95.33,95.33
2001-03-28,95.395,95.395,95.395,95.395
2001-03-29,95.465,95.465,95.465,95.465
2001-03-30,95.535,95.535,95.535,95.535
2001-04-02,95.51,95.51,95.51,95.51
2001-04-03,95.575,95.575,95.575,95.575
2001-04-04,95.635,95.635,95.635,95.635
2001-04-05,95.55,95.55,95.55,95.55
2001-04-06,95.67,95.67,95.67,95.67
2001-04-09,95.66,95.66,95.66,95.66
2001-04-10,95.53,95.53,95.53,95.53
2001-04-11,95.48,95.48,95.48,95.48
2001-04-12,95.425,95.425,95.425,95.425
2001-04-13,95.235,95.235,95.235,95.235
2001-04-16,95.235,95.235,95.235,95.235
2001-04-17,95.365,95.365,95.365,95.365
2001-04-18,95.605,95.605,95.605,95.605
2001-04-19,95.56,95.56,95.56,95.56
2001-04-20,95.595,95.595,95.595,95.595
2001-04-23,95.69,95.69,95.69,95.69
2001-04-24,95.69,95.69,95.69,95.69
2001-04-25,95.585,95.585,95.585,95.585
2001-04-26,95.645,95.645,95.645,95.645
2001-04-27,95.525,95.525,95.525,95.525
2001-04-30,95.495,95.495,95.495,95.495
2001-05-01,95.565,95.565,95.565,95.565
2001-05-02,95.535,95.535,95.535,95.535
2001-05-03,95.57,95.57,95.57,95.57
2001-05-04,95.71,95.71,95.71,95.71
2001-05-07,95.73,95.73,95.73,95.73
2001-05-08,95.765,95.765,95.765,95.765
2001-05-09,95.79,95.79,95.79,95.79
2001-05-10,95.705,95.705,95.705,95.705
2001-05-11,95.53,95.53,95.53,95.53
2001-05-14,95.625,95.625,95.625,95.625
2001-05-15,95.705,95.705,95.705,95.705
2001-05-16,95.73,95.73,95.73,95.73
2001-05-17,95.61,95.61,95.61,95.61
2001-05-18,95.56,95.56,95.56,95.56
2001-05-21,95.555,95.555,95.555,95.555
2001-05-22,95.6,95.6,95.6,95.6
2001-05-23,95.635,95.635,95.635,95.635
2001-05-24,95.59,95.59,95.59,95.59
2001-05-25,95.655,95.655,95.655,95.655
2001-05-28,95.665,95.665,95.665,95.665
2001-05-29,95.665,95.665,95.665,95.665
2001-05-30,95.67,95.67,95.67,95.67
2001-05-31,95.795,95.795,95.795,95.795
2001-06-01,95.755,95.755,95.755,95.755
2001-06-04,95.765,95.765,95.765,95.765
2001-06-05,95.815,95.815,95.815,95.815
2001-06-06,95.83,95.83,95.83,95.83
2001-06-07,95.84,95.84,95.84,95.84
2001-06-08,95.825,95.825,95.825,95.825
2001-06-11,95.86,95.86,95.86,95.86
2001-06-12,95.885,95.885,95.885,95.885
2001-06-13,95.92,95.92,95.92,95.92
2001-06-14,95.955,95.955,95.955,95.955
2001-06-15,96.005,96.005,96.005,96.005
2001-06-18,96.06,96.06,96.06,96.06
2001-06-19,95.855,95.855,95.855,95.855
2001-06-20,95.875,95.875,95.875,95.875
2001-06-21,95.84,95.84,95.84,95.84
2001-06-22,95.91,95.91,95.91,95.91
2001-06-25,95.9,95.9,95.9,95.9
2001-06-26,95.83,95.83,95.83,95.83
2001-06-27,95.705,95.705,95.705,95.705
2001-06-28,95.53,95.53,95.53,95.53
2001-06-29,95.5,95.5,95.5,95.5
2001-07-02,95.585,95.585,95.585,95.585
2001-07-03,95.57,95.57,95.57,95.57
2001-07-04,95.605,95.605,95.605,95.605
2001-07-05,95.605,95.605,95.605,95.605
2001-07-06,95.73,95.73,95.73,95.73
2001-07-09,95.735,95.735,95.735,95.735
2001-07-10,95.81,95.81,95.81,95.81
2001-07-11,95.83,95.83,95.83,95.83
2001-07-12,95.83,95.83,95.83,95.83
2001-07-13,95.785,95.785,95.785,95.785
2001-07-16,95.835,95.835,95.835,95.835
2001-07-17,95.825,95.825,95.825,95.825
2001-07-18,96.045,96.045,96.045,96.045
2001-07-19,96.025,96.025,96.025,96.025
2001-07-20,96.025,96.025,96.025,96.025
2001-07-23,96.025,96.025,96.025,96.025
2001-07-24,96.04,96.04,96.04,96.04
2001-07-25,96.02,96.02,96.02,96.02
2001-07-26,96.055,96.055,96.055,96.055
2001-07-27,96.14,96.14,96.14,96.14
2001-07-30,96.15,96.15,96.15,96.15
2001-07-31,96.2,96.2,96.2,96.2
2001-08-01,96.185,96.185,96.185,96.185
2001-08-02,96.12,96.12,96.12,96.12
2001-08-03,96.15,96.15,96.15,96.15
2001-08-06,96.17,96.17,96.17,96.17
2001-08-07,96.155,96.155,96.155,96.155
2001-08-08,96.265,96.265,96.265,96.265
2001-08-09,96.285,96.285,96.285,96.285
2001-08-10,96.33,96.33,96.33,96.33
2001-08-13,96.35,96.35,96.35,96.35
2001-08-14,96.3,96.3,96.3,96.3
2001-08-15,96.215,96.215,96.215,96.215
2001-08-16,96.3,96.3,96.3,96.3
2001-08-17,96.37,96.37,96.37,96.37
2001-08-20,96.315,96.315,96.315,96.315
2001-08-21,96.385,96.385,96.385,96.385
2001-08-22,96.345,96.345,96.345,96.345
2001-08-23,96.365,96.365,96.365,96.365
2001-08-24,96.34,96.34,96.34,96.34
2001-08-27,96.33,96.33,96.33,96.33
2001-08-28,96.43,96.43,96.43,96.43
2001-08-29,96.455,96.455,96.455,96.455
2001-08-30,96.51,96.51,96.51,96.51
2001-08-31,96.485,96.485,96.485,96.485
2001-09-03,96.255,96.255,96.255,96.255
2001-09-04,96.255,96.255,96.255,96.255
2001-09-05,96.32,96.32,96.32,96.32
2001-09-06,96.465,96.465,96.465,96.465
2001-09-07,96.625,96.625,96.625,96.625
2001-09-10,96.63,96.63,96.63,96.63
2001-09-11,96.835,96.835,96.835,96.835
2001-09-12,97.05,97.05,97.05,97.05
2001-09-13,97.05,97.05,97.05,97.05
2001-09-14,97.155,97.155,97.155,97.155
2001-09-17,97.22,97.22,97.22,97.22
2001-09-18,96.85,96.85,96.85,96.85
2001-09-19,96.985,96.985,96.985,96.985
2001-09-20,96.93,96.93,96.93,96.93
2001-09-21,96.95,96.95,96.95,96.95
2001-09-24,96.985,96.985,96.985,96.985
2001-09-25,97.06,97.06,97.06,97.06
2001-09-26,97.14,97.14,97.14,97.14
2001-09-27,97.185,97.185,97.185,97.185
2001-09-28,97.11,97.11,97.11,97.11
2001-10-01,97.14,97.14,97.14,97.14
2001-10-02,97.275,97.275,97.275,97.275
2001-10-03,97.245,97.245,97.245,97.245
2001-10-04,97.27,97.27,97.27,97.27
2001-10-05,97.35,97.35,97.35,97.35
2001-10-08,97.35,97.35,97.35,97.35
2001-10-09,97.33,97.33,97.33,97.33
2001-10-10,97.29,97.29,97.29,97.29
2001-10-11,97.165,97.165,97.165,97.165
2001-10-12,97.225,97.225,97.225,97.225
2001-10-15,97.275,97.275,97.275,97.275
2001-10-16,97.27,97.27,97.27,97.27
2001-10-17,97.25,97.25,97.25,97.25
2001-10-18,97.325,97.325,97.325,97.325
2001-10-19,97.33,97.33,97.33,97.33
2001-10-22,97.325,97.325,97.325,97.325
2001-10-23,97.325,97.325,97.325,97.325
2001-10-24,97.405,97.405,97.405,97.405
2001-10-25,97.485,97.485,97.485,97.485
2001-10-26,97.49,97.49,97.49,97.49
2001-10-29,97.56,97.56,97.56,97.56
2001-10-30,97.66,97.66,97.66,97.66
2001-10-31,97.67,97.67,97.67,97.67
2001-11-01,97.61,97.61,97.61,97.61
2001-11-02,97.66,97.66,97.66,97.66
2001-11-05,97.71,97.71,97.71,97.71
2001-11-06,97.85,97.85,97.85,97.85
2001-11-07,97.91,97.91,97.91,97.91
2001-11-08,97.805,97.805,97.805,97.805
2001-11-09,97.78,97.78,97.78,97.78
2001-11-12,97.78,97.78,97.78,97.78
2001-11-13,97.73,97.73,97.73,97.73
2001-11-14,97.575,97.575,97.575,97.575
2001-11-15,97.31,97.31,97.31,97.31
2001-11-16,97.185,97.185,97.185,97.185
2001-11-19,97.35,97.35,97.35,97.35
2001-11-20,97.295,97.295,97.295,97.295
2001-11-21,97.155,97.155,97.155,97.155
2001-11-22,97.085,97.085,97.085,97.085
2001-11-23,97.085,97.085,97.085,97.085
2001-11-26,97.05,97.05,97.05,97.05
2001-11-27,97.285,97.285,97.285,97.285
2001-11-28,97.27,97.27,97.27,97.27
2001-11-29,97.47,97.47,97.47,97.47
2001-11-30,97.5,97.5,97.5,97.5
2001-12-03,97.525,97.525,97.525,97.525
2001-12-04,97.54,97.54,97.54,97.54
