"Timestamp","ED4.OPEN","ED4.HIGH","ED4.LOW","ED4.CLOSE"
2000-06-09,92.715,92.715,92.715,92.715
2000-06-12,92.745,92.745,92.745,92.745
2000-06-13,92.84,92.84,92.84,92.84
2000-06-14,92.895,92.895,92.895,92.895
2000-06-15,92.88,92.88,92.88,92.88
2000-06-16,92.945,92.945,92.945,92.945
2000-06-19,92.91,92.91,92.91,92.91
2000-06-20,92.84,92.84,92.84,92.84
2000-06-21,92.78,92.78,92.78,92.78
2000-06-22,92.765,92.765,92.765,92.765
2000-06-23,92.745,92.745,92.745,92.745
2000-06-26,92.805,92.805,92.805,92.805
2000-06-27,92.81,92.81,92.81,92.81
2000-06-28,92.81,92.81,92.81,92.81
2000-06-29,92.88,92.88,92.88,92.88
2000-06-30,92.88,92.88,92.88,92.88
2000-07-03,92.965,92.965,92.965,92.965
2000-07-04,93.015,93.015,93.015,93.015
2000-07-05,93.015,93.015,93.015,93.015
2000-07-06,92.96,92.96,92.96,92.96
2000-07-07,93.055,93.055,93.055,93.055
2000-07-10,93.015,93.015,93.015,93.015
2000-07-11,92.995,92.995,92.995,92.995
2000-07-12,92.97,92.97,92.97,92.97
2000-07-13,93.025,93.025,93.025,93.025
2000-07-14,92.915,92.915,92.915,92.915
2000-07-17,92.88,92.88,92.88,92.88
2000-07-18,92.87,92.87,92.87,92.87
2000-07-19,92.865,92.865,92.865,92.865
2000-07-20,93.025,93.025,93.025,93.025
2000-07-21,93.025,93.025,93.025,93.025
2000-07-24,93,93,93,93
2000-07-25,93.02,93.02,93.02,93.02
2000-07-26,93.02,93.02,93.02,93.02
2000-07-27,93.045,93.045,93.045,93.045
2000-07-28,93.015,93.015,93.015,93.015
2000-07-31,93,93,93,93
2000-08-01,93.04,93.04,93.04,93.04
2000-08-02,93.085,93.085,93.085,93.085
2000-08-03,93.1,93.1,93.1,93.1
2000-08-04,93.185,93.185,93.185,93.185
2000-08-07,93.16,93.16,93.16,93.16
2000-08-08,93.205,93.205,93.205,93.205
2000-08-09,93.22,93.22,93.22,93.22
2000-08-10,93.245,93.245,93.245,93.245
2000-08-11,93.145,93.145,93.145,93.145
2000-08-14,93.165,93.165,93.165,93.165
2000-08-15,93.155,93.155,93.155,93.155
2000-08-16,93.13,93.13,93.13,93.13
2000-08-17,93.13,93.13,93.13,93.13
2000-08-18,93.18,93.18,93.18,93.18
2000-08-21,93.165,93.165,93.165,93.165
2000-08-22,93.15,93.15,93.15,93.15
2000-08-23,93.195,93.195,93.195,93.195
2000-08-24,93.225,93.225,93.225,93.225
2000-08-25,93.225,93.225,93.225,93.225
2000-08-28,93.17,93.17,93.17,93.17
2000-08-29,93.145,93.145,93.145,93.145
2000-08-30,93.16,93.16,93.16,93.16
2000-08-31,93.235,93.235,93.235,93.235
2000-09-01,93.355,93.355,93.355,93.355
2000-09-04,93.34,93.34,93.34,93.34
2000-09-05,93.34,93.34,93.34,93.34
2000-09-06,93.305,93.305,93.305,93.305
2000-09-07,93.29,93.29,93.29,93.29
2000-09-08,93.33,93.33,93.33,93.33
2000-09-11,93.32,93.32,93.32,93.32
2000-09-12,93.33,93.33,93.33,93.33
2000-09-13,93.375,93.375,93.375,93.375
2000-09-14,93.375,93.375,93.375,93.375
2000-09-15,93.415,93.415,93.415,93.415
2000-09-18,93.465,93.465,93.465,93.465
2000-09-19,93.435,93.435,93.435,93.435
2000-09-20,93.41,93.41,93.41,93.41
2000-09-21,93.435,93.435,93.435,93.435
2000-09-22,93.47,93.47,93.47,93.47
2000-09-25,93.43,93.43,93.43,93.43
2000-09-26,93.47,93.47,93.47,93.47
2000-09-27,93.48,93.48,93.48,93.48
2000-09-28,93.48,93.48,93.48,93.48
2000-09-29,93.535,93.535,93.535,93.535
2000-10-02,93.54,93.54,93.54,93.54
2000-10-03,93.505,93.505,93.505,93.505
2000-10-04,93.475,93.475,93.475,93.475
2000-10-05,93.48,93.48,93.48,93.48
2000-10-06,93.47,93.47,93.47,93.47
2000-10-09,93.47,93.47,93.47,93.47
2000-10-10,93.475,93.475,93.475,93.475
2000-10-11,93.52,93.52,93.52,93.52
2000-10-12,93.62,93.62,93.62,93.62
2000-10-13,93.615,93.615,93.615,93.615
2000-10-16,93.585,93.585,93.585,93.585
2000-10-17,93.655,93.655,93.655,93.655
2000-10-18,93.67,93.67,93.67,93.67
2000-10-19,93.655,93.655,93.655,93.655
2000-10-20,93.675,93.675,93.675,93.675
2000-10-23,93.71,93.71,93.71,93.71
2000-10-24,93.675,93.675,93.675,93.675
2000-10-25,93.64,93.64,93.64,93.64
2000-10-26,93.635,93.635,93.635,93.635
2000-10-27,93.58,93.58,93.58,93.58
2000-10-30,93.57,93.57,93.57,93.57
2000-10-31,93.61,93.61,93.61,93.61
2000-11-01,93.665,93.665,93.665,93.665
2000-11-02,93.68,93.68,93.68,93.68
2000-11-03,93.63,93.63,93.63,93.63
2000-11-06,93.59,93.59,93.59,93.59
2000-11-07,93.59,93.59,93.59,93.59
2000-11-08,93.585,93.585,93.585,93.585
2000-11-09,93.63,93.63,93.63,93.63
2000-11-10,93.66,93.66,93.66,93.66
2000-11-13,93.7,93.7,93.7,93.7
2000-11-14,93.665,93.665,93.665,93.665
2000-11-15,93.68,93.68,93.68,93.68
2000-11-16,93.72,93.72,93.72,93.72
2000-11-17,93.71,93.71,93.71,93.71
2000-11-20,93.725,93.725,93.725,93.725
2000-11-21,93.715,93.715,93.715,93.715
2000-11-22,93.75,93.75,93.75,93.75
2000-11-23,93.72,93.72,93.72,93.72
2000-11-24,93.72,93.72,93.72,93.72
2000-11-27,93.725,93.725,93.725,93.725
2000-11-28,93.79,93.79,93.79,93.79
2000-11-29,93.85,93.85,93.85,93.85
2000-11-30,93.95,93.95,93.95,93.95
2000-12-01,93.905,93.905,93.905,93.905
2000-12-04,93.94,93.94,93.94,93.94
2000-12-05,94.07,94.07,94.07,94.07
2000-12-06,94.155,94.155,94.155,94.155
2000-12-07,94.165,94.165,94.165,94.165
2000-12-08,94.11,94.11,94.11,94.11
2000-12-11,94.085,94.085,94.085,94.085
2000-12-12,94.085,94.085,94.085,94.085
2000-12-13,94.205,94.205,94.205,94.205
2000-12-14,94.265,94.265,94.265,94.265
2000-12-15,94.335,94.335,94.335,94.335
2000-12-18,94.365,94.365,94.365,94.365
2000-12-19,94.285,94.285,94.285,94.285
2000-12-20,94.4,94.4,94.4,94.4
2000-12-21,94.495,94.495,94.495,94.495
2000-12-22,94.535,94.535,94.535,94.535
2000-12-25,94.51,94.51,94.51,94.51
2000-12-26,94.51,94.51,94.51,94.51
2000-12-27,94.445,94.445,94.445,94.445
2000-12-28,94.375,94.375,94.375,94.375
