"Timestamp","ED12.OPEN","ED12.HIGH","ED12.LOW","ED12.CLOSE"
2000-06-09,92.74,92.74,92.74,92.74
2000-06-12,92.8,92.8,92.8,92.8
2000-06-13,92.845,92.845,92.845,92.845
2000-06-14,92.9,92.9,92.9,92.9
2000-06-15,92.91,92.91,92.91,92.91
2000-06-16,92.995,92.995,92.995,92.995
2000-06-19,92.96,92.96,92.96,92.96
2000-06-20,92.9,92.9,92.9,92.9
2000-06-21,92.82,92.82,92.82,92.82
2000-06-22,92.78,92.78,92.78,92.78
2000-06-23,92.75,92.75,92.75,92.75
2000-06-26,92.84,92.84,92.84,92.84
2000-06-27,92.84,92.84,92.84,92.84
2000-06-28,92.82,92.82,92.82,92.82
2000-06-29,92.89,92.89,92.89,92.89
2000-06-30,92.915,92.915,92.915,92.915
2000-07-03,92.96,92.96,92.96,92.96
2000-07-04,93,93,93,93
2000-07-05,93,93,93,93
2000-07-06,92.945,92.945,92.945,92.945
2000-07-07,93.025,93.025,93.025,93.025
2000-07-10,92.98,92.98,92.98,92.98
2000-07-11,92.96,92.96,92.96,92.96
2000-07-12,92.94,92.94,92.94,92.94
2000-07-13,93,93,93,93
2000-07-14,92.89,92.89,92.89,92.89
2000-07-17,92.83,92.83,92.83,92.83
2000-07-18,92.815,92.815,92.815,92.815
2000-07-19,92.805,92.805,92.805,92.805
2000-07-20,92.975,92.975,92.975,92.975
2000-07-21,92.97,92.97,92.97,92.97
2000-07-24,92.945,92.945,92.945,92.945
2000-07-25,92.96,92.96,92.96,92.96
2000-07-26,92.965,92.965,92.965,92.965
2000-07-27,92.98,92.98,92.98,92.98
2000-07-28,92.94,92.94,92.94,92.94
2000-07-31,92.945,92.945,92.945,92.945
2000-08-01,92.97,92.97,92.97,92.97
2000-08-02,93.01,93.01,93.01,93.01
2000-08-03,93.025,93.025,93.025,93.025
2000-08-04,93.1,93.1,93.1,93.1
2000-08-07,93.07,93.07,93.07,93.07
2000-08-08,93.115,93.115,93.115,93.115
2000-08-09,93.11,93.11,93.11,93.11
2000-08-10,93.155,93.155,93.155,93.155
2000-08-11,93.085,93.085,93.085,93.085
2000-08-14,93.1,93.1,93.1,93.1
2000-08-15,93.1,93.1,93.1,93.1
2000-08-16,93.08,93.08,93.08,93.08
2000-08-17,93.085,93.085,93.085,93.085
2000-08-18,93.115,93.115,93.115,93.115
2000-08-21,93.09,93.09,93.09,93.09
2000-08-22,93.11,93.11,93.11,93.11
2000-08-23,93.18,93.18,93.18,93.18
2000-08-24,93.2,93.2,93.2,93.2
2000-08-25,93.2,93.2,93.2,93.2
2000-08-28,93.155,93.155,93.155,93.155
2000-08-29,93.105,93.105,93.105,93.105
2000-08-30,93.095,93.095,93.095,93.095
2000-08-31,93.175,93.175,93.175,93.175
2000-09-01,93.28,93.28,93.28,93.28
2000-09-04,93.275,93.275,93.275,93.275
2000-09-05,93.275,93.275,93.275,93.275
2000-09-06,93.225,93.225,93.225,93.225
2000-09-07,93.19,93.19,93.19,93.19
2000-09-08,93.195,93.195,93.195,93.195
2000-09-11,93.19,93.19,93.19,93.19
2000-09-12,93.195,93.195,93.195,93.195
2000-09-13,93.26,93.26,93.26,93.26
2000-09-14,93.235,93.235,93.235,93.235
