"Timestamp","ED2.OPEN","ED2.HIGH","ED2.LOW","ED2.CLOSE"
2000-09-19,93.43,93.43,93.43,93.43
2000-09-20,93.405,93.405,93.405,93.405
2000-09-21,93.415,93.415,93.415,93.415
2000-09-22,93.445,93.445,93.445,93.445
2000-09-25,93.42,93.42,93.42,93.42
2000-09-26,93.435,93.435,93.435,93.435
2000-09-27,93.435,93.435,93.435,93.435
2000-09-28,93.43,93.43,93.43,93.43
2000-09-29,93.46,93.46,93.46,93.46
2000-10-02,93.46,93.46,93.46,93.46
2000-10-03,93.43,93.43,93.43,93.43
2000-10-04,93.425,93.425,93.425,93.425
2000-10-05,93.425,93.425,93.425,93.425
2000-10-06,93.425,93.425,93.425,93.425
2000-10-09,93.425,93.425,93.425,93.425
2000-10-10,93.435,93.435,93.435,93.435
2000-10-11,93.46,93.46,93.46,93.46
2000-10-12,93.56,93.56,93.56,93.56
2000-10-13,93.545,93.545,93.545,93.545
2000-10-16,93.525,93.525,93.525,93.525
2000-10-17,93.57,93.57,93.57,93.57
2000-10-18,93.575,93.575,93.575,93.575
2000-10-19,93.555,93.555,93.555,93.555
2000-10-20,93.57,93.57,93.57,93.57
2000-10-23,93.585,93.585,93.585,93.585
2000-10-24,93.56,93.56,93.56,93.56
2000-10-25,93.535,93.535,93.535,93.535
2000-10-26,93.52,93.52,93.52,93.52
2000-10-27,93.47,93.47,93.47,93.47
2000-10-30,93.465,93.465,93.465,93.465
2000-10-31,93.485,93.485,93.485,93.485
2000-11-01,93.515,93.515,93.515,93.515
2000-11-02,93.52,93.52,93.52,93.52
2000-11-03,93.48,93.48,93.48,93.48
2000-11-06,93.43,93.43,93.43,93.43
2000-11-07,93.43,93.43,93.43,93.43
2000-11-08,93.43,93.43,93.43,93.43
2000-11-09,93.465,93.465,93.465,93.465
2000-11-10,93.485,93.485,93.485,93.485
2000-11-13,93.51,93.51,93.51,93.51
2000-11-14,93.485,93.485,93.485,93.485
2000-11-15,93.49,93.49,93.49,93.49
2000-11-16,93.505,93.505,93.505,93.505
2000-11-17,93.495,93.495,93.495,93.495
2000-11-20,93.51,93.51,93.51,93.51
2000-11-21,93.515,93.515,93.515,93.515
2000-11-22,93.535,93.535,93.535,93.535
