Date-Time,Open,High,Low,Close,Volume
2006-01-02T00:00:00Z,96.825,96.83,96.77,96.785,10156.0
2006-01-03T00:00:00Z,96.775,96.805,96.755,96.795,62936.0
2006-01-04T00:00:00Z,96.75,97.01,96.75,96.925,88143.0
2006-01-05T00:00:00Z,96.95,96.955,96.875,96.925,44979.0
2006-01-06T00:00:00Z,96.945,96.945,96.905,96.925,26385.0
2006-01-09T00:00:00Z,96.935,96.94,96.88,96.895,28262.0
2006-01-10T00:00:00Z,96.91,96.91,96.84,96.85,33376.0
2006-01-11T00:00:00Z,96.835,96.85,96.8,96.815,37613.0
2006-01-12T00:00:00Z,96.81,96.87,96.805,96.845,24934.0
2006-01-13T00:00:00Z,96.86,96.865,96.835,96.86,19283.0
2006-01-16T00:00:00Z,96.855,96.87,96.845,96.855,12083.0
2006-01-17T00:00:00Z,96.865,96.895,96.855,96.88,23679.0
2006-01-18T00:00:00Z,96.905,96.925,96.825,96.845,57404.0
2006-01-19T00:00:00Z,96.855,96.855,96.76,96.775,50439.0
2006-01-20T00:00:00Z,96.77,96.81,96.745,96.78,30553.0
2006-01-23T00:00:00Z,96.76,96.79,96.725,96.745,37271.0
2006-01-24T00:00:00Z,96.735,96.765,96.725,96.74,45373.0
2006-01-25T00:00:00Z,96.72,96.74,96.69,96.7,56967.0
2006-01-26T00:00:00Z,96.715,96.725,96.665,96.67,61263.0
2006-01-27T00:00:00Z,96.655,96.7,96.635,96.645,51727.0
2006-01-30T00:00:00Z,96.64,96.655,96.605,96.645,39232.0
2006-01-31T00:00:00Z,96.63,96.66,96.63,96.645,43205.0
2006-02-01T00:00:00Z,96.635,96.685,96.6,96.61,43070.0
2006-02-02T00:00:00Z,96.605,96.645,96.595,96.62,46265.0
2006-02-03T00:00:00Z,96.61,96.665,96.6,96.665,41818.0
2006-02-06T00:00:00Z,96.65,96.675,96.645,96.66,23763.0
2006-02-07T00:00:00Z,96.655,96.7,96.64,96.655,54867.0
2006-02-08T00:00:00Z,96.655,96.69,96.645,96.65,65231.0
2006-02-09T00:00:00Z,96.655,96.7,96.625,96.685,78554.0
2006-02-10T00:00:00Z,96.68,96.74,96.665,96.69,69006.0
2006-02-13T00:00:00Z,96.695,96.695,96.665,96.69,41057.0
2006-02-14T00:00:00Z,96.685,96.705,96.665,96.67,51481.0
2006-02-15T00:00:00Z,96.69,96.715,96.66,96.675,50134.0
2006-02-16T00:00:00Z,96.68,96.685,96.645,96.665,32283.0
2006-02-17T00:00:00Z,96.67,96.735,96.67,96.72,58011.0
2006-02-20T00:00:00Z,96.73,96.755,96.72,96.745,33778.0
2006-02-21T00:00:00Z,96.745,96.775,96.71,96.72,50166.0
2006-02-22T00:00:00Z,96.725,96.73,96.68,96.715,49042.0
