Date-Time,FEIc10_ohlcv_1d,FEIc11_ohlcv_1d,FEIc12_ohlcv_1d,FEIc13_ohlcv_1d,FEIc14_ohlcv_1d,FEIc15_ohlcv_1d,FEIc16_ohlcv_1d,FEIc1_ohlcv_1d,FEIc2_ohlcv_1d,FEIc3_ohlcv_1d,FEIc4_ohlcv_1d,FEIc5_ohlcv_1d,FEIc6_ohlcv_1d,FEIc7_ohlcv_1d,FEIc8_ohlcv_1d,FEIc9_ohlcv_1d,FEIc2_ohlcv_1d-FEIc1_ohlcv_1d_spread,FEIc3_ohlcv_1d-FEIc2_ohlcv_1d_spread,FEIc4_ohlcv_1d-FEIc3_ohlcv_1d_spread,FEIc5_ohlcv_1d-FEIc4_ohlcv_1d_spread,FEIc6_ohlcv_1d-FEIc5_ohlcv_1d_spread,FEIc7_ohlcv_1d-FEIc6_ohlcv_1d_spread,FEIc8_ohlcv_1d-FEIc7_ohlcv_1d_spread,FEIc9_ohlcv_1d-FEIc8_ohlcv_1d_spread,FEIc10_ohlcv_1d-FEIc9_ohlcv_1d_spread,FEIc11_ohlcv_1d-FEIc10_ohlcv_1d_spread,FEIc12_ohlcv_1d-FEIc11_ohlcv_1d_spread,FEIc13_ohlcv_1d-FEIc12_ohlcv_1d_spread,FEIc14_ohlcv_1d-FEIc13_ohlcv_1d_spread,FEIc15_ohlcv_1d-FEIc14_ohlcv_1d_spread,FEIc16_ohlcv_1d-FEIc15_ohlcv_1d_spread,FEIc1_ohlcv_1d_FEIc2_ohlcv_1d_FEIc3_ohlcv_1d_butterfly,FEIc2_ohlcv_1d_FEIc3_ohlcv_1d_FEIc4_ohlcv_1d_butterfly,FEIc3_ohlcv_1d_FEIc4_ohlcv_1d_FEIc5_ohlcv_1d_butterfly,FEIc4_ohlcv_1d_FEIc5_ohlcv_1d_FEIc6_ohlcv_1d_butterfly,FEIc5_ohlcv_1d_FEIc6_ohlcv_1d_FEIc7_ohlcv_1d_butterfly,FEIc6_ohlcv_1d_FEIc7_ohlcv_1d_FEIc8_ohlcv_1d_butterfly,FEIc7_ohlcv_1d_FEIc8_ohlcv_1d_FEIc9_ohlcv_1d_butterfly,FEIc8_ohlcv_1d_FEIc9_ohlcv_1d_FEIc10_ohlcv_1d_butterfly,FEIc9_ohlcv_1d_FEIc10_ohlcv_1d_FEIc11_ohlcv_1d_butterfly,FEIc10_ohlcv_1d_FEIc11_ohlcv_1d_FEIc12_ohlcv_1d_butterfly,FEIc11_ohlcv_1d_FEIc12_ohlcv_1d_FEIc13_ohlcv_1d_butterfly,FEIc12_ohlcv_1d_FEIc13_ohlcv_1d_FEIc14_ohlcv_1d_butterfly,FEIc13_ohlcv_1d_FEIc14_ohlcv_1d_FEIc15_ohlcv_1d_butterfly,FEIc14_ohlcv_1d_FEIc15_ohlcv_1d_FEIc16_ohlcv_1d_butterfly
2006-01-02 00:00:00+00:00,96.835,96.815,96.785,96.78,96.765,96.745,96.71,97.47,97.38,97.295,,,97.075,96.955,96.885,96.865,-0.09000000000000341,-0.08499999999999375,,,,-0.12000000000000455,-0.06999999999999318,-0.020000000000010232,-0.030000000000001137,-0.01999999999999602,-0.030000000000001137,-0.0049999999999954525,-0.015000000000000568,-0.01999999999999602,-0.0350000000000108,0.0024999999999977263,,,,,0.025000000000005684,0.024999999999991473,-0.0049999999999954525,0.005000000000009663,-0.0049999999999954525,0.012500000000002842,-0.0049999999999954525,-0.0024999999999977263,-0.00750000000000739
2006-01-03 00:00:00+00:00,96.85,96.83,96.795,96.79,96.775,96.75,96.72,97.47,97.375,97.3,,,97.105,96.98,96.915,96.885,-0.09499999999999886,-0.07500000000000284,,,,-0.125,-0.06499999999999773,-0.030000000000001137,-0.0350000000000108,-0.01999999999999602,-0.03499999999999659,-0.0049999999999954525,-0.015000000000000568,-0.025000000000005684,-0.030000000000001137,0.009999999999990905,,,,,0.030000000000001137,0.017499999999998295,-0.002500000000011937,0.00750000000000739,-0.00750000000000739,0.015000000000000568,-0.005000000000009663,-0.0049999999999954525,-0.0024999999999977263
2006-01-04 00:00:00+00:00,96.98,96.955,96.925,96.92,96.885,96.86,96.815,97.485,97.41,97.34,97.29,,97.2,97.1,97.04,97.02,-0.07500000000000284,-0.06999999999999318,-0.04999999999999716,,,-0.10000000000000853,-0.05999999999998806,-0.020000000000010232,-0.03999999999999204,-0.025000000000005684,-0.030000000000001137,-0.0049999999999954525,-0.03499999999999659,-0.025000000000005684,-0.045000000000001705,0.0024999999999977263,0.009999999999990905,,,,0.020000000000010232,0.01999999999999602,-0.009999999999990905,0.007499999999993179,-0.0024999999999977263,0.012500000000002842,-0.015000000000000568,0.0049999999999954525,-0.010000000000005116
2006-01-05 00:00:00+00:00,96.995,96.965,96.925,96.91,96.9,96.865,96.82,97.49,97.42,97.345,,,97.205,97.115,97.05,97.025,-0.06999999999999318,-0.07500000000000284,,,,-0.09000000000000341,-0.06499999999999773,-0.024999999999991473,-0.030000000000001137,-0.030000000000001137,-0.04000000000000625,-0.015000000000000568,-0.009999999999990905,-0.0350000000000108,-0.045000000000001705,-0.002500000000011937,,,,,0.012500000000002842,0.01999999999999602,-0.0024999999999977263,0.0,-0.0049999999999954525,0.012500000000002842,0.0024999999999977263,-0.012500000000017053,-0.0049999999999954525
2006-01-06 00:00:00+00:00,96.99,96.96,96.925,96.92,96.9,96.88,96.835,97.495,97.42,97.36,,,97.225,97.125,97.055,97.02,-0.07500000000000284,-0.060000000000002274,,,,-0.09999999999999432,-0.06999999999999318,-0.0350000000000108,-0.030000000000001137,-0.030000000000001137,-0.03499999999999659,-0.0049999999999954525,-0.01999999999999602,-0.020000000000010232,-0.045000000000001705,0.00750000000000739,,,,,0.015000000000000568,0.017499999999984084,0.002500000000011937,0.0,-0.0024999999999977263,0.015000000000000568,-0.00750000000000739,0.0,-0.012499999999988631
2006-01-09 00:00:00+00:00,96.955,96.93,96.895,96.875,96.865,96.835,96.795,97.49,97.42,97.33,,,97.19,97.085,97.01,96.985,-0.06999999999999318,-0.09000000000000341,,,,-0.10500000000000398,-0.07499999999998863,-0.025000000000005684,-0.030000000000001137,-0.024999999999991473,-0.0350000000000108,-0.01999999999999602,-0.010000000000005116,-0.030000000000001137,-0.03999999999999204,-0.010000000000005116,,,,,0.015000000000000568,0.024999999999991473,-0.0024999999999977263,0.002500000000011937,-0.005000000000009663,0.00750000000000739,0.0049999999999954525,-0.010000000000005116,-0.0049999999999954525
2006-01-10 00:00:00+00:00,96.9,96.88,96.85,96.84,96.83,96.81,96.78,97.48,97.4,97.32,,,97.155,97.04,96.965,96.93,-0.0799999999999983,-0.0800000000000125,,,,-0.11499999999999488,-0.07500000000000284,-0.03499999999999659,-0.030000000000001137,-0.020000000000010232,-0.030000000000001137,-0.009999999999990905,-0.010000000000005116,-0.01999999999999602,-0.030000000000001137,0.0,,,,,0.01999999999999602,0.020000000000010232,0.0024999999999977263,0.0049999999999954525,-0.0049999999999954525,0.010000000000005116,0.0,-0.0049999999999954525,-0.0049999999999954525
2006-01-11 00:00:00+00:00,96.865,96.84,96.815,96.805,96.78,96.765,96.74,97.48,97.39,97.305,,,97.13,97.01,96.93,96.905,-0.09000000000000341,-0.08499999999999375,,,,-0.11999999999999034,-0.0799999999999983,-0.025000000000005684,-0.04000000000000625,-0.024999999999991473,-0.025000000000005684,-0.009999999999990905,-0.025000000000005684,-0.015000000000000568,-0.025000000000005684,0.002500000000011937,,,,,0.01999999999999602,0.02750000000000341,-0.007499999999993179,0.00750000000000739,0.0,0.00750000000000739,-0.00750000000000739,0.0049999999999954525,-0.005000000000009663
2006-01-12 00:00:00+00:00,96.92,96.885,96.845,96.84,96.815,96.805,96.77,97.49,97.41,97.325,,,97.165,97.06,96.99,96.945,-0.0799999999999983,-0.08499999999999375,,,,-0.10500000000000398,-0.07000000000000739,-0.045000000000001705,-0.024999999999991473,-0.03499999999999659,-0.04000000000000625,-0.0049999999999954525,-0.025000000000005684,-0.009999999999990905,-0.0350000000000108,-0.0024999999999977263,,,,,0.017499999999998295,0.012500000000002842,0.010000000000005116,-0.005000000000009663,-0.002500000000011937,0.017500000000012506,-0.010000000000005116,0.00750000000000739,-0.012500000000017053
2006-01-13 00:00:00+00:00,96.92,96.895,96.86,96.85,96.825,96.81,96.77,97.49,97.42,97.335,,,97.175,97.065,96.99,96.955,-0.06999999999999318,-0.08500000000000796,,,,-0.10999999999999943,-0.07500000000000284,-0.03499999999999659,-0.03499999999999659,-0.025000000000005684,-0.03499999999999659,-0.010000000000005116,-0.024999999999991473,-0.015000000000000568,-0.04000000000000625,-0.00750000000000739,,,,,0.017499999999998295,0.01999999999999602,0.0,0.0049999999999954525,-0.0049999999999954525,0.012500000000002842,-0.007499999999993179,0.0049999999999954525,-0.012500000000002842
