Date-Time,Open,High,Low,Close,Volume
2006-01-02T00:00:00Z,96.715,96.715,96.7,96.71,2199.0
2006-01-03T00:00:00Z,96.7,96.72,96.68,96.72,22208.0
2006-01-04T00:00:00Z,96.76,96.87,96.745,96.815,11877.0
2006-01-05T00:00:00Z,96.82,96.825,96.765,96.82,8200.0
2006-01-06T00:00:00Z,96.81,96.835,96.8,96.835,1790.0
2006-01-09T00:00:00Z,96.815,96.825,96.795,96.795,1269.0
2006-01-10T00:00:00Z,96.795,96.8,96.775,96.78,5347.0
2006-01-11T00:00:00Z,96.78,96.78,96.74,96.74,4879.0
2006-01-12T00:00:00Z,96.735,96.79,96.735,96.77,4309.0
2006-01-13T00:00:00Z,96.78,96.78,96.75,96.77,1185.0
2006-01-16T00:00:00Z,96.815,96.815,96.765,96.765,802.0
2006-01-17T00:00:00Z,96.805,96.805,96.785,96.795,2434.0
2006-01-18T00:00:00Z,96.83,96.83,96.745,96.755,644.0
2006-01-19T00:00:00Z,96.72,96.73,96.69,96.69,2567.0
2006-01-20T00:00:00Z,96.68,96.71,96.665,96.68,2077.0
2006-01-23T00:00:00Z,96.695,96.7,96.635,96.645,1948.0
2006-01-24T00:00:00Z,96.65,96.665,96.64,96.655,2602.0
2006-01-25T00:00:00Z,96.65,96.65,96.59,96.6,3648.0
2006-01-26T00:00:00Z,96.58,96.61,96.555,96.555,11030.0
2006-01-27T00:00:00Z,96.56,96.59,96.525,96.53,1350.0
2006-01-30T00:00:00Z,96.535,96.55,96.51,96.535,5347.0
2006-01-31T00:00:00Z,96.55,96.565,96.53,96.55,2550.0
2006-02-01T00:00:00Z,96.555,96.58,96.51,96.51,2484.0
2006-02-02T00:00:00Z,96.5,96.53,96.49,96.525,3397.0
2006-02-03T00:00:00Z,96.515,96.555,96.5,96.54,1904.0
2006-02-06T00:00:00Z,96.54,96.555,96.535,96.54,3414.0
2006-02-07T00:00:00Z,96.545,96.58,96.525,96.525,2340.0
2006-02-08T00:00:00Z,96.555,96.555,96.52,96.525,3357.0
2006-02-09T00:00:00Z,96.52,96.565,96.495,96.565,2885.0
2006-02-10T00:00:00Z,96.56,96.605,96.55,96.565,2377.0
2006-02-13T00:00:00Z,96.55,96.555,96.53,96.54,4963.0
2006-02-14T00:00:00Z,96.545,96.56,96.53,96.535,1719.0
2006-02-15T00:00:00Z,96.56,96.565,96.525,96.525,2742.0
2006-02-16T00:00:00Z,96.55,96.55,96.515,96.515,2455.0
2006-02-17T00:00:00Z,96.56,96.585,96.55,96.57,8219.0
2006-02-20T00:00:00Z,96.59,96.605,96.59,96.6,1666.0
2006-02-21T00:00:00Z,96.595,96.62,96.585,96.585,822.0
2006-02-22T00:00:00Z,96.58,96.61,96.56,96.605,3623.0
2006-02-23T00:00:00Z,96.6,96.6,96.53,96.535,4028.0
2006-02-24T00:00:00Z,96.52,96.54,96.51,96.53,3580.0
2006-02-27T00:00:00Z,96.5,96.505,96.465,96.475,11269.0
2006-02-28T00:00:00Z,96.465,96.51,96.465,96.495,29620.0
2006-03-01T00:00:00Z,96.505,96.505,96.485,96.495,3399.0
2006-03-02T00:00:00Z,96.5,96.51,96.415,96.415,5027.0
2006-03-03T00:00:00Z,96.405,96.41,96.37,96.37,6866.0
2006-03-06T00:00:00Z,96.375,96.39,96.375,96.38,5135.0
2006-03-07T00:00:00Z,96.365,96.375,96.335,96.36,8531.0
2006-03-08T00:00:00Z,96.38,96.385,96.335,96.34,25892.0
2006-03-09T00:00:00Z,96.345,96.36,96.34,96.36,958.0
2006-03-10T00:00:00Z,96.35,96.355,96.3,96.305,1304.0
2006-03-13T00:00:00Z,96.3,96.3,96.265,96.28,6580.0
2006-03-14T00:00:00Z,96.295,96.34,96.29,96.325,3376.0
2006-03-15T00:00:00Z,96.305,96.315,96.285,96.285,1333.0
2006-03-16T00:00:00Z,96.295,96.305,96.25,96.3,1490.0
2006-03-17T00:00:00Z,96.315,96.345,96.285,96.285,4146.0
2006-03-20T00:00:00Z,96.295,96.31,96.295,96.3,1074.0
2006-03-21T00:00:00Z,96.295,96.325,96.285,96.3,2129.0
2006-03-22T00:00:00Z,96.3,96.34,96.3,96.335,2742.0
2006-03-23T00:00:00Z,96.34,96.365,96.315,96.32,7255.0
2006-03-24T00:00:00Z,96.315,96.37,96.315,96.37,3663.0
2006-03-27T00:00:00Z,96.37,96.375,96.36,96.365,7518.0
2006-03-28T00:00:00Z,96.35,96.35,96.24,96.26,3832.0
2006-03-29T00:00:00Z,96.215,96.235,96.195,96.215,5290.0
2006-03-30T00:00:00Z,96.21,96.22,96.155,96.155,5553.0
2006-03-31T00:00:00Z,96.175,96.175,96.155,96.155,10701.0
2006-04-03T00:00:00Z,96.14,96.14,96.095,96.115,3166.0
2006-04-04T00:00:00Z,96.145,96.145,96.085,96.1,7385.0
2006-04-05T00:00:00Z,96.105,96.135,96.105,96.115,8031.0
2006-04-06T00:00:00Z,96.09,96.15,96.075,96.085,5644.0
2006-04-07T00:00:00Z,96.11,96.15,96.1,96.11,29900.0
2006-04-10T00:00:00Z,96.11,96.11,96.06,96.07,4147.0
2006-04-11T00:00:00Z,96.09,96.095,96.07,96.07,9421.0
2006-04-12T00:00:00Z,96.095,96.1,96.055,96.06,9221.0
2006-04-13T00:00:00Z,96.04,96.05,95.965,95.975,7423.0
2006-04-18T00:00:00Z,95.995,96.02,95.99,96.015,4708.0
2006-04-19T00:00:00Z,96.03,96.06,96.0,96.005,26434.0
2006-04-20T00:00:00Z,96.005,96.045,96.005,96.035,3050.0
2006-04-21T00:00:00Z,96.055,96.065,96.01,96.015,932.0
2006-04-24T00:00:00Z,96.04,96.07,96.005,96.005,7081.0
2006-04-25T00:00:00Z,96.025,96.025,95.93,95.935,4313.0
2006-04-26T00:00:00Z,95.93,95.945,95.925,95.935,9669.0
2006-04-27T00:00:00Z,95.945,95.98,95.895,95.97,3037.0
2006-04-28T00:00:00Z,95.975,95.99,95.94,95.99,4868.0
2006-05-02T00:00:00Z,95.96,95.99,95.96,95.975,4461.0
2006-05-03T00:00:00Z,95.965,95.99,95.955,95.96,5646.0
2006-05-04T00:00:00Z,95.98,95.98,95.935,95.935,4940.0
2006-05-05T00:00:00Z,95.94,95.96,95.92,95.96,4031.0
2006-05-08T00:00:00Z,95.98,95.985,95.945,95.95,2241.0
2006-05-09T00:00:00Z,95.945,95.955,95.935,95.95,4100.0
2006-05-10T00:00:00Z,95.93,96.005,95.93,95.995,8471.0
2006-05-11T00:00:00Z,95.955,95.955,95.915,95.94,1110.0
2006-05-12T00:00:00Z,95.925,95.96,95.885,95.93,2744.0
2006-05-15T00:00:00Z,95.945,96.005,95.945,95.99,7553.0
2006-05-16T00:00:00Z,96.005,96.08,95.98,96.08,6331.0
2006-05-17T00:00:00Z,96.035,96.04,95.97,95.995,3947.0
2006-05-18T00:00:00Z,96.0,96.065,96.0,96.05,5240.0
2006-05-19T00:00:00Z,96.07,96.08,96.03,96.055,5309.0
2006-05-22T00:00:00Z,96.095,96.16,96.095,96.135,28971.0
2006-05-23T00:00:00Z,96.14,96.14,96.105,96.13,9402.0
2006-05-24T00:00:00Z,96.155,96.185,96.115,96.17,23939.0
2006-05-25T00:00:00Z,96.165,96.18,96.15,96.175,2512.0
2006-05-26T00:00:00Z,96.16,96.17,96.145,96.17,2384.0
2006-05-29T00:00:00Z,96.145,96.145,96.13,96.135,1489.0
2006-05-30T00:00:00Z,96.145,96.17,96.095,96.095,6092.0
2006-05-31T00:00:00Z,96.13,96.13,96.045,96.045,6142.0
2006-06-01T00:00:00Z,96.02,96.04,96.015,96.03,3379.0
2006-06-02T00:00:00Z,96.025,96.1,96.02,96.085,2202.0
2006-06-05T00:00:00Z,96.085,96.085,96.035,96.045,8590.0
2006-06-06T00:00:00Z,96.025,96.03,95.995,96.01,4483.0
2006-06-07T00:00:00Z,96.01,96.02,95.98,96.0,1188.0
2006-06-08T00:00:00Z,96.025,96.095,96.015,96.085,4157.0
2006-06-09T00:00:00Z,96.065,96.12,96.06,96.09,7692.0
2006-06-12T00:00:00Z,96.08,96.125,96.08,96.125,2391.0
2006-06-13T00:00:00Z,96.16,96.185,96.15,96.175,3983.0
2006-06-14T00:00:00Z,96.15,96.165,96.115,96.12,2909.0
2006-06-15T00:00:00Z,96.105,96.105,96.035,96.07,2876.0
2006-06-16T00:00:00Z,96.06,96.085,96.055,96.07,6576.0
2006-06-19T00:00:00Z,96.05,96.05,96.015,96.025,4589.0
2006-06-20T00:00:00Z,96.01,96.02,95.925,95.925,3260.0
2006-06-21T00:00:00Z,95.95,95.955,95.935,95.94,1911.0
2006-06-22T00:00:00Z,95.93,95.935,95.905,95.91,3303.0
2006-06-23T00:00:00Z,95.915,95.935,95.885,95.885,5685.0
2006-06-26T00:00:00Z,95.89,95.895,95.855,95.86,2328.0
2006-06-27T00:00:00Z,95.88,95.905,95.84,95.87,12124.0
2006-06-28T00:00:00Z,95.865,95.875,95.85,95.87,2813.0
2006-06-29T00:00:00Z,95.865,95.93,95.85,95.91,3697.0
2006-06-30T00:00:00Z,95.89,95.895,95.86,95.895,3934.0
2006-07-03T00:00:00Z,95.915,95.925,95.87,95.875,10443.0
2006-07-04T00:00:00Z,95.895,95.895,95.885,95.885,1016.0
2006-07-05T00:00:00Z,95.875,95.875,95.825,95.825,3323.0
2006-07-06T00:00:00Z,95.845,95.855,95.79,95.85,7835.0
2006-07-07T00:00:00Z,95.84,95.905,95.84,95.9,12527.0
2006-07-10T00:00:00Z,95.87,95.875,95.865,95.865,1300.0
2006-07-11T00:00:00Z,95.905,95.935,95.9,95.92,3971.0
2006-07-12T00:00:00Z,95.92,95.92,95.87,95.885,7484.0
2006-07-13T00:00:00Z,95.915,95.96,95.915,95.945,4013.0
2006-07-14T00:00:00Z,95.98,96.03,95.98,96.03,307.0
2006-07-17T00:00:00Z,96.015,96.03,95.995,95.995,4169.0
2006-07-18T00:00:00Z,95.995,96.005,95.965,95.97,3247.0
2006-07-19T00:00:00Z,95.955,96.005,95.915,96.005,12897.0
2006-07-20T00:00:00Z,95.98,95.99,95.975,95.99,928.0
2006-07-21T00:00:00Z,96.005,96.04,96.005,96.025,3030.0
2006-07-24T00:00:00Z,96.01,96.045,96.005,96.045,10558.0
2006-07-25T00:00:00Z,96.035,96.08,96.03,96.03,8430.0
2006-07-26T00:00:00Z,96.035,96.055,95.99,96.02,7892.0
2006-07-27T00:00:00Z,96.045,96.08,96.045,96.045,8798.0
2006-07-28T00:00:00Z,96.04,96.08,96.03,96.08,3262.0
2006-07-31T00:00:00Z,96.065,96.09,96.05,96.09,5879.0
2006-08-01T00:00:00Z,96.09,96.1,96.05,96.095,6937.0
2006-08-02T00:00:00Z,96.1,96.1,96.05,96.075,2568.0
2006-08-03T00:00:00Z,96.08,96.08,95.985,95.985,3819.0
2006-08-04T00:00:00Z,95.995,96.08,95.98,96.075,2293.0
2006-08-07T00:00:00Z,96.07,96.105,96.07,96.095,4312.0
2006-08-08T00:00:00Z,96.095,96.115,96.09,96.115,2524.0
