Date-Time,FEIc2-FEIc1_s,FEIc3-FEIc2_s,FEIc4-FEIc3_s,FEIc5-FEIc4_s,FEIc6-FEIc5_s,FEIc7-FEIc6_s,FEIc8-FEIc7_s,FEIc9-FEIc8_s,FEIc10-FEIc9_s,FEIc11-FEIc10_s,FEIc12-FEIc11_s,FEIc13-FEIc12_s,FEIc14-FEIc13_s,FEIc15-FEIc14_s,FEIc16-FEIc15_s
2006-02-15 00:00:00+00:00,-0.005,-0.065,-0.12,0.0,0.04,-0.17,-0.1,-0.065,-0.06,-0.055,-0.05,-0.025,-0.04,-0.035,-0.05
2006-02-16 00:00:00+00:00,0.0,-0.065,-0.12,0.0,0.04,-0.17,-0.11,-0.065,-0.06,-0.05,-0.055,-0.025,-0.035,-0.035,-0.055
2006-02-17 00:00:00+00:00,-0.01,-0.11,-0.05,-0.025,0.04,-0.135,-0.1,-0.06,-0.06,-0.05,-0.05,-0.025,-0.035,-0.03,-0.06
2006-02-20 00:00:00+00:00,-0.005,-0.11,-0.05,-0.025,0.04,-0.135,-0.085,-0.055,-0.055,-0.05,-0.05,-0.025,-0.04,-0.04,-0.04
2006-02-21 00:00:00+00:00,0.0,-0.11,-0.065,-0.01,0.04,-0.16,-0.1,-0.05,-0.05,-0.045,-0.05,-0.02,-0.04,-0.03,-0.045
2006-02-22 00:00:00+00:00,-0.065,-0.055,-0.06,-0.005,0.04,-0.175,-0.1,-0.05,-0.045,-0.05,-0.04,-0.015,-0.025,-0.025,-0.045
2006-02-23 00:00:00+00:00,-0.065,-0.07,-0.07,0.025,0.04,-0.225,-0.115,-0.06,-0.05,-0.04,-0.035,-0.02,-0.03,-0.025,-0.04
2006-02-24 00:00:00+00:00,-0.065,-0.07,-0.075,0.035,0.04,-0.24,-0.12,-0.06,-0.05,-0.04,-0.035,-0.015,-0.02,-0.025,-0.04
2006-02-27 00:00:00+00:00,-0.06,-0.085,-0.08,0.055,0.04,-0.27,-0.125,-0.065,-0.055,-0.035,-0.045,-0.015,-0.025,-0.025,-0.04
2006-02-28 00:00:00+00:00,-0.06,-0.07,-0.095,0.055,0.04,-0.265,-0.12,-0.06,-0.055,-0.035,-0.04,-0.015,-0.025,-0.025,-0.04
2006-03-01 00:00:00+00:00,-0.075,-0.075,-0.085,0.06,0.04,-0.28,-0.115,-0.06,-0.045,-0.04,-0.035,-0.02,-0.02,-0.025,-0.04
2006-03-02 00:00:00+00:00,-0.085,-0.075,-0.1,0.09,0.04,-0.315,-0.125,-0.07,-0.06,-0.045,-0.04,-0.015,-0.025,-0.025,-0.04
2006-03-03 00:00:00+00:00,-0.085,-0.08,-0.095,0.1,0.04,-0.335,-0.135,-0.07,-0.06,-0.05,-0.04,-0.015,-0.025,-0.03,-0.045
2006-03-06 00:00:00+00:00,-0.085,-0.085,-0.095,0.095,0.04,-0.335,-0.135,-0.075,-0.06,-0.05,-0.045,-0.015,-0.025,-0.02,-0.035
