Date-Time,Open,High,Low,Close,Volume
2006-01-02T08:04:00Z,96.715,96.715,96.715,96.715,12.0
2006-01-02T08:32:00Z,96.705,96.705,96.705,96.705,50.0
2006-01-02T08:40:00Z,96.705,96.705,96.705,96.705,50.0
2006-01-02T08:47:00Z,96.705,96.705,96.705,96.705,200.0
2006-01-02T08:49:00Z,96.705,96.705,96.705,96.705,50.0
2006-01-02T10:18:00Z,96.705,96.705,96.705,96.705,200.0
2006-01-02T10:31:00Z,96.7,96.7,96.7,96.7,200.0
2006-01-02T12:08:00Z,96.7,96.7,96.7,96.7,50.0
2006-01-02T13:14:00Z,96.7,96.7,96.7,96.7,887.0
2006-01-02T13:16:00Z,96.7,96.7,96.7,96.7,200.0
2006-01-02T13:17:00Z,96.7,96.7,96.7,96.7,200.0
2006-01-02T15:32:00Z,96.71,96.71,96.71,96.71,50.0
2006-01-02T15:57:00Z,96.71,96.71,96.71,96.71,50.0
2006-01-03T08:03:00Z,96.7,96.7,96.7,96.7,250.0
2006-01-03T10:31:00Z,96.69,96.69,96.69,96.69,100.0
2006-01-03T10:32:00Z,96.69,96.69,96.69,96.69,20.0
2006-01-03T10:34:00Z,96.695,96.695,96.695,96.695,1344.0
2006-01-03T11:05:00Z,96.69,96.69,96.69,96.69,204.0
2006-01-03T14:10:00Z,96.69,96.69,96.68,96.68,238.0
2006-01-03T14:19:00Z,96.68,96.68,96.68,96.68,20000.0
2006-01-03T15:12:00Z,96.71,96.71,96.71,96.71,2.0
2006-01-03T15:38:00Z,96.72,96.72,96.72,96.72,50.0
2006-01-04T07:38:00Z,96.76,96.76,96.76,96.76,200.0
2006-01-04T07:43:00Z,96.75,96.75,96.75,96.75,50.0
2006-01-04T07:51:00Z,96.75,96.75,96.75,96.75,6000.0
2006-01-04T08:02:00Z,96.745,96.745,96.745,96.745,48.0
2006-01-04T09:05:00Z,96.75,96.75,96.75,96.75,752.0
2006-01-04T09:06:00Z,96.75,96.75,96.75,96.75,14.0
2006-01-04T09:28:00Z,96.795,96.87,96.785,96.87,1053.0
2006-01-04T09:29:00Z,96.87,96.87,96.825,96.825,315.0
2006-01-04T09:34:00Z,96.775,96.775,96.775,96.775,84.0
2006-01-04T09:46:00Z,96.775,96.775,96.775,96.775,521.0
2006-01-04T10:21:00Z,96.745,96.745,96.745,96.745,60.0
2006-01-04T10:33:00Z,96.76,96.76,96.76,96.76,2.0
2006-01-04T11:35:00Z,96.77,96.77,96.77,96.77,50.0
2006-01-04T11:42:00Z,96.78,96.78,96.78,96.78,50.0
2006-01-04T11:44:00Z,96.775,96.775,96.775,96.775,720.0
2006-01-04T11:46:00Z,96.775,96.78,96.775,96.78,50.0
2006-01-04T11:48:00Z,96.775,96.775,96.775,96.775,100.0
2006-01-04T12:29:00Z,96.785,96.785,96.785,96.785,50.0
2006-01-04T12:38:00Z,96.775,96.775,96.775,96.775,200.0
2006-01-04T12:57:00Z,96.77,96.77,96.77,96.77,60.0
2006-01-04T12:58:00Z,96.77,96.77,96.77,96.77,20.0
2006-01-04T13:08:00Z,96.78,96.78,96.77,96.775,107.0
2006-01-04T13:12:00Z,96.78,96.78,96.78,96.78,4.0
2006-01-04T14:59:00Z,96.785,96.785,96.785,96.785,165.0
2006-01-04T15:09:00Z,96.785,96.785,96.785,96.785,934.0
2006-01-04T15:15:00Z,96.79,96.79,96.79,96.79,24.0
2006-01-04T15:26:00Z,96.81,96.81,96.81,96.81,39.0
2006-01-04T15:31:00Z,96.81,96.81,96.81,96.81,12.0
2006-01-04T15:34:00Z,96.81,96.815,96.81,96.81,67.0
2006-01-04T15:47:00Z,96.81,96.81,96.81,96.81,2.0
2006-01-04T16:14:00Z,96.81,96.81,96.81,96.81,6.0
2006-01-04T16:38:00Z,96.81,96.81,96.81,96.81,12.0
2006-01-04T17:21:00Z,96.81,96.81,96.81,96.81,56.0
2006-01-04T17:55:00Z,96.815,96.815,96.815,96.815,50.0
2006-01-05T08:01:00Z,96.82,96.82,96.82,96.82,200.0
2006-01-05T08:04:00Z,96.82,96.82,96.82,96.82,200.0
2006-01-05T08:11:00Z,96.82,96.82,96.82,96.82,4000.0
2006-01-05T08:20:00Z,96.82,96.82,96.82,96.82,200.0
