Date-Time,Open,High,Low,Close,Volume,FEIcm7
2006-01-02 00:00:00+00:00,96.85,96.86,96.795,96.815,14839.0,156518.0
2006-01-03 00:00:00+00:00,96.83,96.84,96.79,96.83,40243.0,159602.0
2006-01-04 00:00:00+00:00,96.875,97.005,96.835,96.955,115089.0,160085.0
2006-01-05 00:00:00+00:00,96.985,96.995,96.91,96.965,60713.0,160971.0
2006-01-06 00:00:00+00:00,96.965,97.0,96.94,96.96,61131.0,158204.0
2006-01-09 00:00:00+00:00,96.95,96.96,96.915,96.93,52976.0,159744.0
2006-01-10 00:00:00+00:00,96.94,96.945,96.875,96.88,53438.0,160445.0
2006-01-11 00:00:00+00:00,96.87,96.885,96.83,96.84,90865.0,163255.0
2006-01-12 00:00:00+00:00,96.84,96.905,96.83,96.885,93298.0,164698.0
2006-01-13 00:00:00+00:00,96.88,96.9,96.87,96.895,40243.0,166936.0
2006-01-16 00:00:00+00:00,96.89,96.9,96.875,96.885,20113.0,166736.0
2006-01-17 00:00:00+00:00,96.895,96.925,96.885,96.92,64365.0,168698.0
2006-01-18 00:00:00+00:00,96.935,96.96,96.86,96.885,88974.0,168227.0
2006-01-19 00:00:00+00:00,96.875,96.885,96.795,96.815,97478.0,170679.0
2006-01-20 00:00:00+00:00,96.805,96.845,96.785,96.815,61129.0,171320.0
2006-01-23 00:00:00+00:00,96.815,96.825,96.76,96.775,62080.0,172169.0
2006-01-24 00:00:00+00:00,96.785,96.805,96.765,96.77,75700.0,174619.0
2006-01-25 00:00:00+00:00,96.77,96.78,96.73,96.735,123998.0,179197.0
2006-01-26 00:00:00+00:00,96.735,96.765,96.705,96.715,104396.0,179813.0
2006-01-27 00:00:00+00:00,96.7,96.745,96.67,96.685,110194.0,178858.0
2006-01-30 00:00:00+00:00,96.68,96.695,96.645,96.68,73204.0,180046.0
2006-01-31 00:00:00+00:00,96.665,96.7,96.665,96.68,46413.0,182810.0
2006-02-01 00:00:00+00:00,96.68,96.72,96.64,96.65,77040.0,185961.0
2006-02-02 00:00:00+00:00,96.63,96.69,96.63,96.67,91357.0,188296.0
2006-02-03 00:00:00+00:00,96.66,96.71,96.64,96.7,79971.0,186400.0
2006-02-06 00:00:00+00:00,96.695,96.715,96.685,96.695,40196.0,189066.0
2006-02-07 00:00:00+00:00,96.695,96.745,96.68,96.695,102370.0,187778.0
2006-02-08 00:00:00+00:00,96.695,96.74,96.69,96.705,81834.0,187764.0
2006-02-09 00:00:00+00:00,96.705,96.75,96.67,96.735,68803.0,188973.0
2006-02-10 00:00:00+00:00,96.725,96.785,96.71,96.735,87963.0,188922.0
2006-02-13 00:00:00+00:00,96.745,96.745,96.71,96.74,63700.0,186271.0
2006-02-14 00:00:00+00:00,96.715,96.755,96.715,96.725,70717.0,185912.0
2006-02-15 00:00:00+00:00,96.74,96.77,96.715,96.725,85333.0,195029.0
2006-02-16 00:00:00+00:00,96.745,96.745,96.69,96.72,55722.0,195421.0
2006-02-17 00:00:00+00:00,96.72,96.785,96.72,96.77,75611.0,196942.0
2006-02-20 00:00:00+00:00,96.77,96.81,96.77,96.795,63442.0,204121.0
2006-02-21 00:00:00+00:00,96.8,96.82,96.76,96.77,100592.0,209743.0
2006-02-22 00:00:00+00:00,96.755,96.775,96.725,96.755,104203.0,210959.0
2006-02-23 00:00:00+00:00,96.77,96.77,96.68,96.685,137180.0,205834.0
2006-02-24 00:00:00+00:00,96.67,96.71,96.665,96.665,134769.0,212267.0
2006-02-27 00:00:00+00:00,96.66,96.66,96.61,96.625,156264.0,210296.0
2006-02-28 00:00:00+00:00,96.635,96.655,96.61,96.64,114154.0,217744.0
2006-03-01 00:00:00+00:00,96.645,96.655,96.62,96.635,91398.0,223983.0
2006-03-02 00:00:00+00:00,96.63,96.665,96.555,96.56,179479.0,234723.0
2006-03-03 00:00:00+00:00,96.585,96.585,96.52,96.525,125285.0,230328.0
2006-03-06 00:00:00+00:00,96.52,96.545,96.515,96.52,82094.0,227468.0
2006-03-07 00:00:00+00:00,96.52,96.525,96.485,96.5,156145.0,233202.0
2006-03-08 00:00:00+00:00,96.52,96.54,96.485,96.495,124073.0,236744.0
2006-03-09 00:00:00+00:00,96.485,96.52,96.485,96.505,103953.0,230679.0
2006-03-10 00:00:00+00:00,96.505,96.52,96.45,96.465,129784.0,235356.0
2006-03-13 00:00:00+00:00,96.46,96.46,96.405,96.435,141345.0,230649.0
2006-03-14 00:00:00+00:00,96.43,96.465,96.39,96.455,96792.0,184694.0
2006-03-15 00:00:00+00:00,96.45,96.46,96.38,96.405,87291.0,190061.0
2006-03-16 00:00:00+00:00,96.4,96.445,96.355,96.435,117570.0,197409.0
2006-03-17 00:00:00+00:00,96.43,96.45,96.365,96.385,84837.0,203986.0
2006-03-20 00:00:00+00:00,96.38,96.43,96.375,96.41,51644.0,205595.0
2006-03-21 00:00:00+00:00,96.4,96.44,96.39,96.42,65236.0,208211.0
2006-03-22 00:00:00+00:00,96.415,96.45,96.405,96.43,68431.0,212881.0
2006-03-23 00:00:00+00:00,96.425,96.47,96.41,96.425,113681.0,214143.0
2006-03-24 00:00:00+00:00,96.42,96.475,96.41,96.465,57155.0,215216.0
2006-03-27 00:00:00+00:00,96.475,96.495,96.465,96.475,51075.0,217541.0
2006-03-28 00:00:00+00:00,96.475,96.48,96.345,96.35,180567.0,225754.0
2006-03-29 00:00:00+00:00,96.35,96.36,96.33,96.33,92833.0,233467.0
2006-03-30 00:00:00+00:00,96.34,96.35,96.29,96.295,86480.0,236228.0
2006-03-31 00:00:00+00:00,96.31,96.325,96.275,96.285,104130.0,240023.0
2006-04-03 00:00:00+00:00,96.295,96.3,96.23,96.25,101874.0,237714.0
2006-04-04 00:00:00+00:00,96.26,96.295,96.245,96.255,99666.0,238404.0
2006-04-05 00:00:00+00:00,96.265,96.3,96.255,96.285,118646.0,238404.0
2006-04-06 00:00:00+00:00,96.285,96.36,96.235,96.285,242671.0,236984.0
2006-04-07 00:00:00+00:00,96.28,96.355,96.275,96.315,209810.0,236072.0
2006-04-10 00:00:00+00:00,96.3,96.315,96.265,96.27,61018.0,236582.0
2006-04-11 00:00:00+00:00,96.275,96.3,96.275,96.285,77478.0,236566.0
2006-04-12 00:00:00+00:00,96.29,96.31,96.25,96.26,70476.0,237844.0
2006-04-13 00:00:00+00:00,96.25,96.265,96.19,96.19,75698.0,241696.0
2006-04-18 00:00:00+00:00,96.22,96.24,96.205,96.235,68085.0,239878.0
2006-04-19 00:00:00+00:00,96.265,96.275,96.21,96.23,82799.0,235464.0
2006-04-20 00:00:00+00:00,96.22,96.245,96.21,96.225,50377.0,237841.0
2006-04-21 00:00:00+00:00,96.21,96.275,96.21,96.22,63062.0,236754.0
2006-04-24 00:00:00+00:00,96.22,96.28,96.215,96.235,78285.0,238714.0
2006-04-25 00:00:00+00:00,96.225,96.245,96.13,96.13,188459.0,240540.0
2006-04-26 00:00:00+00:00,96.145,96.155,96.115,96.14,114935.0,244804.0
2006-04-27 00:00:00+00:00,96.145,96.185,96.07,96.175,154203.0,245490.0
2006-04-28 00:00:00+00:00,96.195,96.2,96.13,96.19,92424.0,246677.0
2006-05-02 00:00:00+00:00,96.145,96.175,96.135,96.16,75295.0,248430.0
2006-05-03 00:00:00+00:00,96.155,96.175,96.14,96.16,83912.0,249448.0
2006-05-04 00:00:00+00:00,96.165,96.17,96.105,96.135,95260.0,253463.0
2006-05-05 00:00:00+00:00,96.14,96.19,96.115,96.16,109001.0,256641.0
2006-05-08 00:00:00+00:00,96.17,96.19,96.135,96.145,78286.0,258540.0
2006-05-09 00:00:00+00:00,96.145,96.15,96.125,96.14,71053.0,261287.0
2006-05-10 00:00:00+00:00,96.14,96.2,96.12,96.165,123808.0,263932.0
2006-05-11 00:00:00+00:00,96.16,96.165,96.11,96.12,95999.0,263886.0
2006-05-12 00:00:00+00:00,96.125,96.175,96.085,96.14,215434.0,270366.0
2006-05-15 00:00:00+00:00,96.13,96.25,96.125,96.235,192700.0,265583.0
2006-05-16 00:00:00+00:00,96.245,96.3,96.23,96.29,312979.0,269301.0
2006-05-17 00:00:00+00:00,96.29,96.3,96.215,96.245,184151.0,272453.0
2006-05-18 00:00:00+00:00,96.28,96.31,96.24,96.3,168005.0,272603.0
2006-05-19 00:00:00+00:00,96.305,96.325,96.255,96.28,160851.0,271099.0
2006-05-22 00:00:00+00:00,96.3,96.385,96.29,96.35,205965.0,267071.0
2006-05-23 00:00:00+00:00,96.36,96.365,96.325,96.34,85726.0,267137.0
2006-05-24 00:00:00+00:00,96.36,96.395,96.325,96.365,155911.0,271931.0
2006-05-25 00:00:00+00:00,96.365,96.37,96.345,96.35,90343.0,270614.0
2006-05-26 00:00:00+00:00,96.355,96.365,96.33,96.355,54551.0,268738.0
2006-05-29 00:00:00+00:00,96.37,96.37,96.325,96.335,24536.0,269612.0
2006-05-30 00:00:00+00:00,96.33,96.365,96.275,96.285,117797.0,270094.0
2006-05-31 00:00:00+00:00,96.33,96.33,96.21,96.215,160275.0,265498.0
2006-06-01 00:00:00+00:00,96.185,96.23,96.185,96.215,102591.0,264479.0
2006-06-02 00:00:00+00:00,96.22,96.3,96.2,96.285,133669.0,261522.0
2006-06-05 00:00:00+00:00,96.275,96.28,96.21,96.21,115685.0,265337.0
2006-06-06 00:00:00+00:00,96.205,96.22,96.18,96.19,100409.0,259994.0
2006-06-07 00:00:00+00:00,96.19,96.205,96.165,96.18,119360.0,254151.0
2006-06-08 00:00:00+00:00,96.195,96.305,96.19,96.265,235755.0,264479.0
2006-06-09 00:00:00+00:00,96.255,96.34,96.25,96.31,226877.0,273546.0
2006-06-12 00:00:00+00:00,96.305,96.35,96.295,96.33,148916.0,283888.0
2006-06-13 00:00:00+00:00,96.34,96.395,96.34,96.365,243477.0,283030.0
2006-06-14 00:00:00+00:00,96.36,96.365,96.305,96.315,112993.0,286330.0
2006-06-15 00:00:00+00:00,96.31,96.315,96.245,96.26,158402.0,281598.0
2006-06-16 00:00:00+00:00,96.25,96.295,96.245,96.265,104869.0,282510.0
2006-06-19 00:00:00+00:00,96.275,96.275,96.21,96.225,168848.0,275158.0
2006-06-20 00:00:00+00:00,96.19,96.22,96.15,96.16,94161.0,156880.0
2006-06-21 00:00:00+00:00,96.145,96.155,96.125,96.135,101746.0,159251.0
2006-06-22 00:00:00+00:00,96.125,96.135,96.1,96.1,69392.0,161342.0
2006-06-23 00:00:00+00:00,96.09,96.13,96.07,96.085,80169.0,165291.0
2006-06-26 00:00:00+00:00,96.08,96.09,96.04,96.05,135507.0,166956.0
2006-06-27 00:00:00+00:00,96.05,96.075,96.0,96.035,114416.0,168794.0
2006-06-28 00:00:00+00:00,96.03,96.045,96.01,96.025,64828.0,171121.0
2006-06-29 00:00:00+00:00,96.03,96.1,96.015,96.09,77385.0,171109.0
2006-06-30 00:00:00+00:00,96.1,96.11,96.015,96.055,87392.0,169030.0
2006-07-03 00:00:00+00:00,96.065,96.09,96.025,96.035,81855.0,169458.0
2006-07-04 00:00:00+00:00,96.03,96.065,96.025,96.045,30762.0,169494.0
2006-07-05 00:00:00+00:00,96.045,96.055,95.975,95.995,102401.0,173843.0
2006-07-06 00:00:00+00:00,96.01,96.025,95.94,95.975,159145.0,172834.0
2006-07-07 00:00:00+00:00,95.98,96.055,95.98,96.035,121746.0,173937.0
2006-07-10 00:00:00+00:00,96.035,96.035,95.995,96.01,82976.0,176901.0
2006-07-11 00:00:00+00:00,96.015,96.07,96.005,96.05,71869.0,177810.0
2006-07-12 00:00:00+00:00,96.055,96.055,96.0,96.03,86594.0,178994.0
2006-07-13 00:00:00+00:00,96.03,96.11,96.03,96.105,151640.0,172563.0
2006-07-14 00:00:00+00:00,96.115,96.165,96.11,96.155,152469.0,170084.0
2006-07-17 00:00:00+00:00,96.16,96.17,96.125,96.145,124329.0,170888.0
2006-07-18 00:00:00+00:00,96.135,96.145,96.09,96.105,91093.0,171230.0
2006-07-19 00:00:00+00:00,96.11,96.135,96.045,96.12,98879.0,170933.0
2006-07-20 00:00:00+00:00,96.13,96.135,96.095,96.135,82419.0,171378.0
2006-07-21 00:00:00+00:00,96.135,96.175,96.13,96.16,86694.0,176283.0
2006-07-24 00:00:00+00:00,96.165,96.175,96.135,96.165,49082.0,177562.0
2006-07-25 00:00:00+00:00,96.17,96.215,96.16,96.175,89841.0,178743.0
2006-07-26 00:00:00+00:00,96.175,96.195,96.11,96.155,69628.0,177593.0
2006-07-27 00:00:00+00:00,96.155,96.205,96.155,96.18,116573.0,179744.0
2006-07-28 00:00:00+00:00,96.18,96.225,96.15,96.205,83933.0,182253.0
2006-07-31 00:00:00+00:00,96.215,96.22,96.18,96.215,60717.0,183271.0
2006-08-01 00:00:00+00:00,96.21,96.235,96.17,96.22,92081.0,181697.0
2006-08-02 00:00:00+00:00,96.23,96.245,96.185,96.215,53179.0,181740.0
2006-08-03 00:00:00+00:00,96.215,96.23,96.115,96.135,138302.0,183135.0
2006-08-04 00:00:00+00:00,96.135,96.2,96.105,96.195,169267.0,187896.0
2006-08-07 00:00:00+00:00,96.185,96.215,96.18,96.205,72119.0,189961.0
2006-08-08 00:00:00+00:00,96.205,96.235,96.19,96.22,74512.0,193848.0
2006-08-09 00:00:00+00:00,96.22,96.22,96.165,96.185,46715.0,194383.0
2006-08-10 00:00:00+00:00,96.185,96.25,96.175,96.19,89432.0,195644.0
2006-08-11 00:00:00+00:00,96.19,96.195,96.12,96.12,104242.0,193392.0
2006-08-14 00:00:00+00:00,96.12,96.12,96.07,96.075,115785.0,194204.0
2006-08-15 00:00:00+00:00,96.075,96.13,96.065,96.12,106685.0,194163.0
2006-08-16 00:00:00+00:00,96.12,96.17,96.1,96.155,117525.0,193321.0
2006-08-17 00:00:00+00:00,96.16,96.18,96.135,96.145,83236.0,195587.0
2006-08-18 00:00:00+00:00,96.15,96.165,96.12,96.155,83621.0,196551.0
2006-08-21 00:00:00+00:00,96.165,96.215,96.155,96.21,141881.0,192037.0
2006-08-22 00:00:00+00:00,96.205,96.32,96.2,96.305,225781.0,190047.0
2006-08-23 00:00:00+00:00,96.305,96.315,96.275,96.295,117909.0,181232.0
