Date-Time,Open,High,Low,Close,Volume,FEIcm11
2006-01-02 00:00:00+00:00,96.76,96.76,96.725,96.745,1020.0,28874.0
2006-01-03 00:00:00+00:00,96.735,96.755,96.71,96.75,4055.0,28918.0
2006-01-04 00:00:00+00:00,96.77,96.88,96.77,96.86,4800.0,29241.0
2006-01-05 00:00:00+00:00,96.89,96.89,96.805,96.865,3519.0,29306.0
2006-01-06 00:00:00+00:00,96.845,96.88,96.84,96.88,4239.0,29736.0
2006-01-09 00:00:00+00:00,96.855,96.87,96.835,96.835,4752.0,30031.0
2006-01-10 00:00:00+00:00,96.83,96.84,96.81,96.81,5770.0,29909.0
2006-01-11 00:00:00+00:00,96.815,96.815,96.765,96.765,17722.0,26878.0
2006-01-12 00:00:00+00:00,96.775,96.83,96.76,96.805,8240.0,25582.0
2006-01-13 00:00:00+00:00,96.805,96.815,96.79,96.81,2148.0,25585.0
2006-01-16 00:00:00+00:00,96.805,96.815,96.8,96.805,4327.0,25816.0
2006-01-17 00:00:00+00:00,96.815,96.84,96.81,96.83,4526.0,25293.0
2006-01-18 00:00:00+00:00,96.85,96.87,96.78,96.79,3177.0,25767.0
2006-01-19 00:00:00+00:00,96.77,96.77,96.715,96.715,12380.0,25396.0
2006-01-20 00:00:00+00:00,96.72,96.745,96.7,96.705,3181.0,25465.0
2006-01-23 00:00:00+00:00,96.735,96.735,96.67,96.685,5123.0,25433.0
2006-01-24 00:00:00+00:00,96.675,96.705,96.675,96.695,1501.0,25508.0
2006-01-25 00:00:00+00:00,96.685,96.685,96.635,96.64,2780.0,25683.0
2006-01-26 00:00:00+00:00,96.63,96.655,96.595,96.6,4107.0,26227.0
2006-01-27 00:00:00+00:00,96.605,96.63,96.57,96.575,2502.0,26268.0
2006-01-30 00:00:00+00:00,96.58,96.585,96.545,96.58,5979.0,26699.0
2006-01-31 00:00:00+00:00,96.59,96.6,96.575,96.59,6588.0,26154.0
2006-02-01 00:00:00+00:00,96.585,96.62,96.54,96.555,4324.0,26534.0
2006-02-02 00:00:00+00:00,96.545,96.57,96.53,96.565,7160.0,27434.0
2006-02-03 00:00:00+00:00,96.56,96.595,96.535,96.585,1413.0,27557.0
2006-02-06 00:00:00+00:00,96.585,96.6,96.58,96.58,2160.0,27536.0
2006-02-07 00:00:00+00:00,96.58,96.62,96.56,96.57,5032.0,27036.0
2006-02-08 00:00:00+00:00,96.59,96.605,96.57,96.575,4193.0,26820.0
2006-02-09 00:00:00+00:00,96.57,96.615,96.545,96.605,6279.0,27155.0
2006-02-10 00:00:00+00:00,96.595,96.64,96.565,96.585,3593.0,27033.0
2006-02-13 00:00:00+00:00,96.605,96.605,96.58,96.59,4119.0,27052.0
2006-02-14 00:00:00+00:00,96.585,96.605,96.57,96.57,5583.0,26929.0
2006-02-15 00:00:00+00:00,96.59,96.615,96.57,96.575,9673.0,29525.0
2006-02-16 00:00:00+00:00,96.6,96.6,96.555,96.57,5315.0,30194.0
2006-02-17 00:00:00+00:00,96.59,96.635,96.59,96.63,15127.0,31817.0
2006-02-20 00:00:00+00:00,96.645,96.655,96.635,96.64,2781.0,31663.0
2006-02-21 00:00:00+00:00,96.645,96.675,96.62,96.63,2107.0,31705.0
2006-02-22 00:00:00+00:00,96.615,96.65,96.605,96.65,4251.0,31291.0
2006-02-23 00:00:00+00:00,96.645,96.645,96.57,96.575,5887.0,31547.0
2006-02-24 00:00:00+00:00,96.56,96.59,96.555,96.57,2984.0,31654.0
2006-02-27 00:00:00+00:00,96.55,96.55,96.505,96.515,16038.0,30688.0
2006-02-28 00:00:00+00:00,96.515,96.545,96.505,96.535,16661.0,30222.0
2006-03-01 00:00:00+00:00,96.545,96.55,96.52,96.535,3885.0,30593.0
2006-03-02 00:00:00+00:00,96.55,96.55,96.455,96.455,7361.0,31169.0
2006-03-03 00:00:00+00:00,96.485,96.485,96.41,96.415,7293.0,30417.0
2006-03-06 00:00:00+00:00,96.42,96.43,96.41,96.415,1294.0,30447.0
2006-03-07 00:00:00+00:00,96.405,96.415,96.375,96.38,8796.0,31629.0
2006-03-08 00:00:00+00:00,96.405,96.42,96.375,96.38,7220.0,32159.0
2006-03-09 00:00:00+00:00,96.385,96.405,96.375,96.385,2303.0,32020.0
2006-03-10 00:00:00+00:00,96.395,96.395,96.34,96.34,9139.0,31885.0
2006-03-13 00:00:00+00:00,96.335,96.34,96.3,96.32,8254.0,31587.0
2006-03-14 00:00:00+00:00,96.305,96.36,96.3,96.34,7880.0,25440.0
2006-03-15 00:00:00+00:00,96.33,96.335,96.285,96.295,3524.0,25587.0
2006-03-16 00:00:00+00:00,96.3,96.34,96.255,96.34,7689.0,26248.0
2006-03-17 00:00:00+00:00,96.32,96.355,96.285,96.295,9836.0,26421.0
2006-03-20 00:00:00+00:00,96.295,96.33,96.29,96.31,2990.0,26441.0
2006-03-21 00:00:00+00:00,96.32,96.34,96.295,96.305,2434.0,26354.0
2006-03-22 00:00:00+00:00,96.315,96.35,96.315,96.34,2679.0,26549.0
2006-03-23 00:00:00+00:00,96.35,96.375,96.32,96.325,6092.0,25981.0
2006-03-24 00:00:00+00:00,96.325,96.38,96.32,96.38,4497.0,26868.0
2006-03-27 00:00:00+00:00,96.385,96.39,96.37,96.375,6206.0,26144.0
2006-03-28 00:00:00+00:00,96.365,96.365,96.26,96.265,6671.0,27129.0
2006-03-29 00:00:00+00:00,96.25,96.25,96.22,96.225,13968.0,29147.0
2006-03-30 00:00:00+00:00,96.22,96.23,96.175,96.175,12197.0,30313.0
2006-03-31 00:00:00+00:00,96.195,96.195,96.15,96.15,10401.0,30824.0
2006-04-03 00:00:00+00:00,96.15,96.16,96.105,96.13,5799.0,29342.0
2006-04-04 00:00:00+00:00,96.145,96.16,96.105,96.11,10197.0,30391.0
2006-04-05 00:00:00+00:00,96.135,96.15,96.125,96.135,33494.0,30391.0
2006-04-06 00:00:00+00:00,96.12,96.205,96.09,96.11,26400.0,27847.0
2006-04-07 00:00:00+00:00,96.135,96.175,96.125,96.135,17099.0,30995.0
2006-04-10 00:00:00+00:00,96.115,96.14,96.085,96.095,3023.0,31027.0
2006-04-11 00:00:00+00:00,96.11,96.12,96.1,96.1,12856.0,31536.0
2006-04-12 00:00:00+00:00,96.12,96.13,96.075,96.08,9815.0,31651.0
2006-04-13 00:00:00+00:00,96.065,96.07,95.995,96.0,8398.0,31266.0
2006-04-18 00:00:00+00:00,96.035,96.045,96.015,96.045,5946.0,31750.0
2006-04-19 00:00:00+00:00,96.055,96.08,96.015,96.03,10840.0,32229.0
2006-04-20 00:00:00+00:00,96.025,96.06,96.025,96.055,4595.0,32578.0
2006-04-21 00:00:00+00:00,96.08,96.095,96.03,96.03,6075.0,32912.0
2006-04-24 00:00:00+00:00,96.05,96.09,96.02,96.04,3041.0,32709.0
2006-04-25 00:00:00+00:00,96.05,96.05,95.94,95.945,20007.0,33833.0
2006-04-26 00:00:00+00:00,95.955,95.98,95.94,95.965,15064.0,35595.0
2006-04-27 00:00:00+00:00,95.97,96.005,95.915,95.99,4895.0,35440.0
2006-04-28 00:00:00+00:00,95.995,96.015,95.96,96.01,7817.0,35876.0
2006-05-02 00:00:00+00:00,95.97,96.0,95.97,95.99,3161.0,36317.0
2006-05-03 00:00:00+00:00,95.985,96.005,95.975,95.985,7734.0,37108.0
2006-05-04 00:00:00+00:00,95.99,95.99,95.95,95.96,4565.0,37104.0
2006-05-05 00:00:00+00:00,95.96,96.015,95.94,95.99,9579.0,37361.0
2006-05-08 00:00:00+00:00,96.005,96.01,95.97,95.975,4234.0,38066.0
2006-05-09 00:00:00+00:00,95.97,95.975,95.955,95.97,8503.0,39355.0
2006-05-10 00:00:00+00:00,95.96,96.025,95.95,96.01,10336.0,41457.0
2006-05-11 00:00:00+00:00,95.99,95.99,95.93,95.94,2196.0,41438.0
2006-05-12 00:00:00+00:00,95.945,95.985,95.905,95.95,8274.0,40647.0
2006-05-15 00:00:00+00:00,95.985,96.035,95.98,96.02,12924.0,40729.0
2006-05-16 00:00:00+00:00,96.025,96.085,96.015,96.085,6664.0,41041.0
2006-05-17 00:00:00+00:00,96.07,96.075,96.0,96.015,10010.0,41689.0
2006-05-18 00:00:00+00:00,96.03,96.1,96.025,96.085,14131.0,42641.0
2006-05-19 00:00:00+00:00,96.115,96.115,96.055,96.085,8372.0,42379.0
2006-05-22 00:00:00+00:00,96.105,96.185,96.105,96.16,19484.0,40401.0
2006-05-23 00:00:00+00:00,96.16,96.165,96.14,96.155,5142.0,40307.0
2006-05-24 00:00:00+00:00,96.18,96.2,96.13,96.2,14988.0,41600.0
2006-05-25 00:00:00+00:00,96.195,96.2,96.18,96.19,6497.0,41013.0
2006-05-26 00:00:00+00:00,96.185,96.195,96.175,96.19,4996.0,40853.0
2006-05-29 00:00:00+00:00,96.175,96.175,96.15,96.165,1155.0,40791.0
2006-05-30 00:00:00+00:00,96.185,96.195,96.12,96.12,11783.0,40528.0
2006-05-31 00:00:00+00:00,96.145,96.155,96.065,96.065,5843.0,39903.0
2006-06-01 00:00:00+00:00,96.045,96.065,96.035,96.055,6238.0,39943.0
2006-06-02 00:00:00+00:00,96.045,96.12,96.04,96.11,981.0,39855.0
2006-06-05 00:00:00+00:00,96.105,96.105,96.06,96.065,4609.0,40081.0
2006-06-06 00:00:00+00:00,96.045,96.055,96.02,96.03,6559.0,39959.0
