Date-Time,Open,High,Low,Close,Volume
2006-01-02T08:00:00Z,96.715,96.715,96.715,96.715,12.0
2006-01-02T08:30:00Z,96.705,96.705,96.705,96.705,100.0
2006-01-02T08:45:00Z,96.705,96.705,96.705,96.705,250.0
2006-01-02T10:15:00Z,96.705,96.705,96.705,96.705,200.0
2006-01-02T10:30:00Z,96.7,96.7,96.7,96.7,200.0
2006-01-02T12:00:00Z,96.7,96.7,96.7,96.7,50.0
2006-01-02T13:00:00Z,96.7,96.7,96.7,96.7,887.0
2006-01-02T13:15:00Z,96.7,96.7,96.7,96.7,400.0
2006-01-02T15:30:00Z,96.71,96.71,96.71,96.71,50.0
2006-01-02T15:45:00Z,96.71,96.71,96.71,96.71,50.0
2006-01-03T08:00:00Z,96.7,96.7,96.7,96.7,250.0
2006-01-03T10:30:00Z,96.69,96.695,96.69,96.695,1464.0
2006-01-03T11:00:00Z,96.69,96.69,96.69,96.69,204.0
2006-01-03T14:00:00Z,96.69,96.69,96.68,96.68,238.0
2006-01-03T14:15:00Z,96.68,96.68,96.68,96.68,20000.0
2006-01-03T15:00:00Z,96.71,96.71,96.71,96.71,2.0
2006-01-03T15:30:00Z,96.72,96.72,96.72,96.72,50.0
2006-01-04T07:30:00Z,96.76,96.76,96.75,96.75,250.0
2006-01-04T07:45:00Z,96.75,96.75,96.75,96.75,6000.0
2006-01-04T08:00:00Z,96.745,96.745,96.745,96.745,48.0
2006-01-04T09:00:00Z,96.75,96.75,96.75,96.75,766.0
2006-01-04T09:15:00Z,96.795,96.87,96.785,96.825,1368.0
2006-01-04T09:30:00Z,96.775,96.775,96.775,96.775,84.0
2006-01-04T09:45:00Z,96.775,96.775,96.775,96.775,521.0
2006-01-04T10:15:00Z,96.745,96.745,96.745,96.745,60.0
2006-01-04T10:30:00Z,96.76,96.76,96.76,96.76,2.0
2006-01-04T11:30:00Z,96.77,96.78,96.77,96.775,820.0
2006-01-04T11:45:00Z,96.775,96.78,96.775,96.775,150.0
2006-01-04T12:15:00Z,96.785,96.785,96.785,96.785,50.0
2006-01-04T12:30:00Z,96.775,96.775,96.775,96.775,200.0
2006-01-04T12:45:00Z,96.77,96.77,96.77,96.77,80.0
2006-01-04T13:00:00Z,96.78,96.78,96.77,96.78,111.0
2006-01-04T14:45:00Z,96.785,96.785,96.785,96.785,165.0
2006-01-04T15:00:00Z,96.785,96.785,96.785,96.785,934.0
2006-01-04T15:15:00Z,96.79,96.81,96.79,96.81,63.0
2006-01-04T15:30:00Z,96.81,96.815,96.81,96.81,79.0
2006-01-04T15:45:00Z,96.81,96.81,96.81,96.81,2.0
2006-01-04T16:00:00Z,96.81,96.81,96.81,96.81,6.0
2006-01-04T16:30:00Z,96.81,96.81,96.81,96.81,12.0
2006-01-04T17:15:00Z,96.81,96.81,96.81,96.81,56.0
2006-01-04T17:45:00Z,96.815,96.815,96.815,96.815,50.0
2006-01-05T08:00:00Z,96.82,96.82,96.82,96.82,4400.0
2006-01-05T08:15:00Z,96.82,96.82,96.82,96.82,200.0
2006-01-05T08:30:00Z,96.825,96.825,96.825,96.825,14.0
2006-01-05T09:00:00Z,96.78,96.78,96.78,96.78,500.0
2006-01-05T09:30:00Z,96.765,96.77,96.765,96.77,70.0
2006-01-05T10:00:00Z,96.77,96.77,96.77,96.77,200.0
2006-01-05T10:15:00Z,96.77,96.785,96.77,96.785,210.0
2006-01-05T10:45:00Z,96.78,96.78,96.78,96.78,878.0
2006-01-05T11:00:00Z,96.775,96.775,96.775,96.775,14.0
2006-01-05T11:30:00Z,96.775,96.78,96.775,96.78,473.0
2006-01-05T12:00:00Z,96.78,96.78,96.78,96.78,50.0
2006-01-05T12:15:00Z,96.79,96.79,96.79,96.79,220.0
2006-01-05T13:15:00Z,96.785,96.785,96.785,96.785,50.0
2006-01-05T14:45:00Z,96.805,96.805,96.805,96.805,2.0
2006-01-05T15:00:00Z,96.81,96.81,96.81,96.81,30.0
2006-01-05T15:15:00Z,96.81,96.81,96.81,96.81,30.0
2006-01-05T16:00:00Z,96.82,96.82,96.82,96.82,400.0
2006-01-05T16:30:00Z,96.82,96.82,96.82,96.82,4.0
2006-01-05T16:45:00Z,96.825,96.825,96.825,96.825,157.0
2006-01-05T17:30:00Z,96.825,96.825,96.82,96.82,298.0
2006-01-06T07:30:00Z,96.81,96.81,96.81,96.81,200.0
2006-01-06T09:15:00Z,96.8,96.81,96.8,96.805,966.0
2006-01-06T10:30:00Z,96.81,96.81,96.81,96.81,10.0
2006-01-06T11:00:00Z,96.81,96.81,96.81,96.81,78.0
2006-01-06T11:30:00Z,96.81,96.81,96.81,96.81,84.0
2006-01-06T13:15:00Z,96.81,96.81,96.81,96.81,96.0
2006-01-06T16:00:00Z,96.82,96.82,96.82,96.82,10.0
2006-01-06T16:45:00Z,96.825,96.835,96.825,96.835,148.0
2006-01-06T17:00:00Z,96.835,96.835,96.835,96.835,198.0
2006-01-09T08:15:00Z,96.815,96.815,96.815,96.815,50.0
2006-01-09T09:00:00Z,96.81,96.81,96.81,96.81,162.0
2006-01-09T09:15:00Z,96.81,96.81,96.81,96.81,81.0
2006-01-09T09:45:00Z,96.825,96.825,96.825,96.825,50.0
2006-01-09T12:45:00Z,96.825,96.825,96.82,96.82,400.0
2006-01-09T15:00:00Z,96.815,96.815,96.815,96.815,60.0
2006-01-09T15:45:00Z,96.81,96.815,96.81,96.815,102.0
2006-01-09T16:00:00Z,96.815,96.815,96.815,96.815,2.0
2006-01-09T16:15:00Z,96.805,96.805,96.805,96.805,200.0
2006-01-09T16:30:00Z,96.795,96.795,96.795,96.795,100.0
2006-01-09T17:00:00Z,96.8,96.8,96.8,96.8,60.0
2006-01-09T17:15:00Z,96.795,96.795,96.795,96.795,2.0
2006-01-10T07:45:00Z,96.795,96.795,96.795,96.795,100.0
2006-01-10T08:00:00Z,96.795,96.795,96.795,96.795,367.0
2006-01-10T08:15:00Z,96.795,96.795,96.795,96.795,88.0
2006-01-10T08:45:00Z,96.785,96.79,96.785,96.79,568.0
2006-01-10T09:00:00Z,96.785,96.785,96.785,96.785,386.0
2006-01-10T09:15:00Z,96.785,96.79,96.785,96.79,150.0
2006-01-10T09:30:00Z,96.79,96.795,96.79,96.795,1084.0
2006-01-10T09:45:00Z,96.79,96.79,96.79,96.79,92.0
2006-01-10T10:15:00Z,96.785,96.79,96.785,96.79,240.0
2006-01-10T10:30:00Z,96.79,96.79,96.785,96.785,200.0
2006-01-10T11:45:00Z,96.795,96.795,96.795,96.795,50.0
2006-01-10T14:00:00Z,96.795,96.795,96.795,96.795,36.0
2006-01-10T14:30:00Z,96.8,96.8,96.8,96.8,404.0
2006-01-10T15:30:00Z,96.8,96.8,96.8,96.8,69.0
2006-01-10T15:45:00Z,96.8,96.8,96.785,96.785,841.0
2006-01-10T16:00:00Z,96.79,96.79,96.785,96.785,288.0
2006-01-10T16:15:00Z,96.785,96.785,96.785,96.785,240.0
2006-01-10T16:30:00Z,96.775,96.775,96.775,96.775,134.0
2006-01-10T17:00:00Z,96.78,96.78,96.78,96.78,4.0
2006-01-10T18:00:00Z,96.78,96.78,96.78,96.78,6.0
2006-01-11T07:30:00Z,96.78,96.78,96.78,96.78,94.0
2006-01-11T09:45:00Z,96.755,96.755,96.755,96.755,4.0
2006-01-11T10:45:00Z,96.755,96.755,96.755,96.755,70.0
2006-01-11T11:00:00Z,96.76,96.76,96.75,96.75,290.0
2006-01-11T11:45:00Z,96.755,96.755,96.755,96.755,520.0
2006-01-11T13:15:00Z,96.75,96.75,96.75,96.75,12.0
2006-01-11T13:30:00Z,96.755,96.755,96.755,96.755,248.0
2006-01-11T13:45:00Z,96.765,96.765,96.76,96.76,588.0
2006-01-11T14:00:00Z,96.765,96.765,96.765,96.765,68.0
2006-01-11T14:30:00Z,96.765,96.765,96.765,96.765,824.0
2006-01-11T15:15:00Z,96.75,96.75,96.745,96.745,2157.0
2006-01-11T16:00:00Z,96.74,96.74,96.74,96.74,4.0
2006-01-12T07:30:00Z,96.735,96.735,96.735,96.735,2.0
2006-01-12T09:15:00Z,96.745,96.745,96.745,96.745,1000.0
2006-01-12T10:45:00Z,96.745,96.745,96.745,96.745,176.0
2006-01-12T11:30:00Z,96.74,96.74,96.74,96.74,200.0
2006-01-12T12:45:00Z,96.755,96.76,96.755,96.76,720.0
2006-01-12T13:00:00Z,96.76,96.76,96.76,96.76,1132.0
2006-01-12T13:15:00Z,96.76,96.76,96.75,96.75,668.0
2006-01-12T14:30:00Z,96.785,96.785,96.785,96.785,2.0
2006-01-12T14:45:00Z,96.785,96.785,96.785,96.785,52.0
2006-01-12T15:00:00Z,96.785,96.785,96.785,96.785,90.0
2006-01-12T15:15:00Z,96.79,96.79,96.79,96.79,20.0
2006-01-12T15:45:00Z,96.78,96.78,96.78,96.78,205.0
2006-01-12T20:45:00Z,96.77,96.77,96.77,96.77,42.0
2006-01-13T09:45:00Z,96.78,96.78,96.78,96.78,4.0
